model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,n_pairs,strict_ccc,invalid_pair_rate
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,358,0.0111731843575419,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,358,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,358,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,22,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,22,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,25,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,25,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,12,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,12,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,17,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,17,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,29,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,29,0.0,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,358,0.3770949720670391,0.0
qwen3_4b,Qwen3-4B,main,main,nl,358,0.40782122905027934,0.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,358,0.40782122905027934,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,22,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,22,0.13636363636363635,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,25,0.04,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,25,0.12,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl,12,0.08333333333333333,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,12,0.25,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl,17,0.058823529411764705,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,17,0.058823529411764705,0.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl,29,0.10344827586206896,0.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl_formal,29,0.13793103448275862,0.0
qwen3_8b,Qwen3-8B,main,main,formula_only,358,0.4245810055865922,0.0
qwen3_8b,Qwen3-8B,main,main,nl,358,0.4553072625698324,0.0
qwen3_8b,Qwen3-8B,main,main,nl_formal,358,0.4581005586592179,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,22,0.45454545454545453,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,22,0.22727272727272727,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,25,0.16,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,25,0.24,0.0
qwen3_8b,Qwen3-8B,stress,easy,nl,12,0.3333333333333333,0.0
qwen3_8b,Qwen3-8B,stress,easy,nl_formal,12,0.16666666666666666,0.0
qwen3_8b,Qwen3-8B,stress,hard,nl,17,0.47058823529411764,0.0
qwen3_8b,Qwen3-8B,stress,hard,nl_formal,17,0.29411764705882354,0.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl,29,0.4482758620689655,0.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl_formal,29,0.3103448275862069,0.0
