model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,query_type,n_pairs,strict_ccc,invalid_pair_rate
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,ate,53,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,backadj,50,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,correlation,98,0.04081632653061224,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,det-counterfactual,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,ett,19,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,marginal,63,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,nde,45,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,nie,29,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,ate,53,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,backadj,50,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,correlation,98,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,det-counterfactual,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,ett,19,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,marginal,63,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,nde,45,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,nie,29,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,ate,53,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,backadj,50,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,correlation,98,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,det-counterfactual,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,ett,19,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,marginal,63,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,nde,45,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,nie,29,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,ate,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,collider_bias,5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,correlation,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,exp_away,11,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,marginal,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,nde,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,nie,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,ate,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,collider_bias,5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,correlation,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,exp_away,11,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,marginal,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,nde,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,nie,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,ate,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,backadj,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,collider_bias,5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,correlation,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,ett,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,exp_away,7,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,nde,5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,nie,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,ate,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,backadj,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,collider_bias,5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,correlation,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,ett,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,exp_away,7,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,nde,5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,nie,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,ate,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,backadj,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,collider_bias,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,correlation,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,ett,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,exp_away,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,marginal,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,ate,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,backadj,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,collider_bias,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,correlation,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,ett,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,exp_away,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,marginal,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,ate,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,backadj,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,collider_bias,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,correlation,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,exp_away,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,marginal,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,nie,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,ate,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,backadj,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,collider_bias,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,correlation,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,exp_away,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,marginal,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,nie,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,ate,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,backadj,5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,collider_bias,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,correlation,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,ett,5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,exp_away,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,marginal,5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,nde,4,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,ate,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,backadj,5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,collider_bias,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,correlation,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,ett,5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,exp_away,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,marginal,5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,nde,4,0.0,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,ate,53,0.5849056603773585,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,backadj,50,0.0,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,correlation,98,0.5102040816326531,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,det-counterfactual,1,0.0,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,ett,19,0.21052631578947367,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,marginal,63,0.5079365079365079,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,nde,45,0.26666666666666666,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,nie,29,0.20689655172413793,0.0
qwen3_4b,Qwen3-4B,main,main,nl,ate,53,0.5471698113207547,0.0
qwen3_4b,Qwen3-4B,main,main,nl,backadj,50,0.08,0.0
qwen3_4b,Qwen3-4B,main,main,nl,correlation,98,0.6428571428571429,0.0
qwen3_4b,Qwen3-4B,main,main,nl,det-counterfactual,1,0.0,0.0
qwen3_4b,Qwen3-4B,main,main,nl,ett,19,0.15789473684210525,0.0
qwen3_4b,Qwen3-4B,main,main,nl,marginal,63,0.38095238095238093,0.0
qwen3_4b,Qwen3-4B,main,main,nl,nde,45,0.35555555555555557,0.0
qwen3_4b,Qwen3-4B,main,main,nl,nie,29,0.2413793103448276,0.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,ate,53,0.5849056603773585,0.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,backadj,50,0.08,0.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,correlation,98,0.5408163265306123,0.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,det-counterfactual,1,0.0,0.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,ett,19,0.3684210526315789,0.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,marginal,63,0.47619047619047616,0.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,nde,45,0.28888888888888886,0.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,nie,29,0.27586206896551724,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,ate,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,collider_bias,5,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,correlation,2,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,exp_away,11,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,marginal,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,nde,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,nie,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,ate,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,collider_bias,5,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,correlation,2,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,exp_away,11,0.2727272727272727,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,marginal,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,nde,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,nie,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,ate,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,backadj,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,collider_bias,5,0.0,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,correlation,3,0.0,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,ett,2,0.5,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,exp_away,7,0.0,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,nde,5,0.0,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,nie,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,ate,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,backadj,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,collider_bias,5,0.0,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,correlation,3,0.3333333333333333,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,ett,2,0.5,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,exp_away,7,0.0,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,nde,5,0.2,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,nie,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl,ate,1,1.0,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl,backadj,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl,collider_bias,2,0.0,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl,correlation,2,0.0,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl,ett,2,0.0,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl,exp_away,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl,marginal,3,0.0,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,ate,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,backadj,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,collider_bias,2,0.0,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,correlation,2,0.0,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,ett,2,0.5,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,exp_away,1,1.0,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,marginal,3,0.3333333333333333,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl,ate,3,0.3333333333333333,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl,backadj,3,0.0,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl,collider_bias,2,0.0,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl,correlation,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl,exp_away,3,0.0,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl,marginal,3,0.0,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl,nie,2,0.0,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,ate,3,0.3333333333333333,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,backadj,3,0.0,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,collider_bias,2,0.0,0.0
