model,dataset_variant,prompt_mode,parsed_label,n
qwen3_0_6b,anticommonsense,nl,yes,100
qwen3_0_6b,anticommonsense,nl_formal,yes,100
qwen3_0_6b,commonsense,nl,yes,100
qwen3_0_6b,commonsense,nl_formal,yes,100
qwen3_0_6b,easy,nl,yes,100
qwen3_0_6b,easy,nl_formal,yes,100
qwen3_0_6b,hard,nl,yes,100
qwen3_0_6b,hard,nl_formal,yes,100
qwen3_0_6b,main,formula_only,no,4
qwen3_0_6b,main,formula_only,yes,636
qwen3_0_6b,main,nl,yes,640
qwen3_0_6b,main,nl_formal,yes,640
qwen3_0_6b,noncommonsense,nl,yes,100
qwen3_0_6b,noncommonsense,nl_formal,yes,100
qwen3_4b,anticommonsense,nl,no,91
qwen3_4b,anticommonsense,nl,yes,9
qwen3_4b,anticommonsense,nl_formal,no,84
qwen3_4b,anticommonsense,nl_formal,yes,16
qwen3_4b,commonsense,nl,no,85
qwen3_4b,commonsense,nl,yes,15
qwen3_4b,commonsense,nl_formal,no,85
qwen3_4b,commonsense,nl_formal,yes,15
qwen3_4b,easy,nl,no,89
qwen3_4b,easy,nl,yes,11
qwen3_4b,easy,nl_formal,no,82
qwen3_4b,easy,nl_formal,yes,18
qwen3_4b,hard,nl,no,91
qwen3_4b,hard,nl,yes,9
qwen3_4b,hard,nl_formal,no,90
qwen3_4b,hard,nl_formal,yes,10
qwen3_4b,main,formula_only,no,405
qwen3_4b,main,formula_only,yes,235
qwen3_4b,main,nl,no,395
qwen3_4b,main,nl,yes,245
qwen3_4b,main,nl_formal,no,418
qwen3_4b,main,nl_formal,yes,222
qwen3_4b,noncommonsense,nl,no,88
qwen3_4b,noncommonsense,nl,yes,12
qwen3_4b,noncommonsense,nl_formal,no,93
qwen3_4b,noncommonsense,nl_formal,yes,7
qwen3_8b,anticommonsense,nl,no,53
qwen3_8b,anticommonsense,nl,yes,47
qwen3_8b,anticommonsense,nl_formal,no,64
qwen3_8b,anticommonsense,nl_formal,yes,36
qwen3_8b,commonsense,nl,no,50
qwen3_8b,commonsense,nl,yes,50
qwen3_8b,commonsense,nl_formal,no,59
qwen3_8b,commonsense,nl_formal,yes,41
qwen3_8b,easy,nl,no,61
qwen3_8b,easy,nl,yes,39
qwen3_8b,easy,nl_formal,no,62
qwen3_8b,easy,nl_formal,yes,38
qwen3_8b,hard,nl,no,63
qwen3_8b,hard,nl,yes,37
qwen3_8b,hard,nl_formal,no,67
qwen3_8b,hard,nl_formal,yes,33
qwen3_8b,main,formula_only,no,343
qwen3_8b,main,formula_only,yes,297
qwen3_8b,main,nl,no,304
qwen3_8b,main,nl,yes,336
qwen3_8b,main,nl_formal,no,324
qwen3_8b,main,nl_formal,yes,316
qwen3_8b,noncommonsense,nl,no,71
qwen3_8b,noncommonsense,nl,yes,29
qwen3_8b,noncommonsense,nl_formal,no,72
qwen3_8b,noncommonsense,nl_formal,yes,28
