model,model_display_name,diagnostic_source,dataset_variant,n_valid_pairs,rescue_count,harm_count,rescue_rate_over_nl_failures,harm_rate_over_nl_successes,net_rescue_rate
qwen3_0_6b,Qwen3-0.6B,main,main,640,0,0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,100,0,0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,100,0,0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,100,0,0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,100,0,0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,100,0,0,0.0,0.0,0.0
qwen3_4b,Qwen3-4B,main,main,640,26,43,0.10038610038610038,0.11286089238845144,-0.0265625
qwen3_4b,Qwen3-4B,stress,anticommonsense,100,9,4,0.16981132075471697,0.0851063829787234,0.05
qwen3_4b,Qwen3-4B,stress,commonsense,100,7,3,0.14285714285714285,0.058823529411764705,0.04
qwen3_4b,Qwen3-4B,stress,easy,100,4,5,0.0784313725490196,0.10204081632653061,-0.01
qwen3_4b,Qwen3-4B,stress,hard,100,5,4,0.09803921568627451,0.08163265306122448,0.01
qwen3_4b,Qwen3-4B,stress,noncommonsense,100,7,6,0.1346153846153846,0.125,0.01
qwen3_8b,Qwen3-8B,main,main,640,23,35,0.08156028368794327,0.09776536312849161,-0.01875
qwen3_8b,Qwen3-8B,stress,anticommonsense,100,15,18,0.29411764705882354,0.3673469387755102,-0.03
qwen3_8b,Qwen3-8B,stress,commonsense,100,17,10,0.3541666666666667,0.19230769230769232,0.07
qwen3_8b,Qwen3-8B,stress,easy,100,13,8,0.2653061224489796,0.1568627450980392,0.05
qwen3_8b,Qwen3-8B,stress,hard,100,16,16,0.2909090909090909,0.35555555555555557,0.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,100,10,13,0.19607843137254902,0.2653061224489796,-0.03
