model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,query_type,n_pairs,strict_ccc,invalid_pair_rate
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,ate,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,collider_bias,5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,correlation,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,exp_away,11,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,marginal,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,nde,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,nie,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,ate,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,collider_bias,5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,correlation,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,exp_away,11,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,marginal,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,nde,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,nie,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,ate,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,backadj,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,collider_bias,5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,correlation,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,ett,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,exp_away,7,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,nde,5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,nie,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,ate,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,backadj,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,collider_bias,5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,correlation,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,ett,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,exp_away,7,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,nde,5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,nie,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,ate,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,backadj,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,collider_bias,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,correlation,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,ett,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,exp_away,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,marginal,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,ate,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,backadj,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,collider_bias,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,correlation,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,ett,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,exp_away,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,marginal,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,ate,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,backadj,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,collider_bias,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,correlation,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,exp_away,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,marginal,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,nie,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,ate,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,backadj,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,collider_bias,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,correlation,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,exp_away,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,marginal,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,nie,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,ate,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,backadj,5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,collider_bias,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,correlation,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,ett,5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,exp_away,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,marginal,5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,nde,4,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,ate,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,backadj,5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,collider_bias,3,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,correlation,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,ett,5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,exp_away,2,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,marginal,5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,nde,4,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,ate,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,collider_bias,5,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,correlation,2,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,exp_away,11,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,marginal,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,nde,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,nie,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,ate,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,collider_bias,5,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,correlation,2,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,exp_away,11,0.2727272727272727,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,marginal,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,nde,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,nie,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,ate,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,backadj,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,collider_bias,5,0.0,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,correlation,3,0.0,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,ett,2,0.5,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,exp_away,7,0.0,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,nde,5,0.0,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,nie,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,ate,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,backadj,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,collider_bias,5,0.0,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,correlation,3,0.3333333333333333,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,ett,2,0.5,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,exp_away,7,0.0,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,nde,5,0.2,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,nie,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl,ate,1,1.0,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl,backadj,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl,collider_bias,2,0.0,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl,correlation,2,0.0,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl,ett,2,0.0,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl,exp_away,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl,marginal,3,0.0,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,ate,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,backadj,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,collider_bias,2,0.0,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,correlation,2,0.0,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,ett,2,0.5,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,exp_away,1,1.0,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,marginal,3,0.3333333333333333,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl,ate,3,0.3333333333333333,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl,backadj,3,0.0,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl,collider_bias,2,0.0,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl,correlation,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl,exp_away,3,0.0,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl,marginal,3,0.0,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl,nie,2,0.0,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,ate,3,0.3333333333333333,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,backadj,3,0.0,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,collider_bias,2,0.0,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,correlation,1,0.0,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,exp_away,3,0.0,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,marginal,3,0.0,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,nie,2,0.0,0.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl,ate,3,0.0,0.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl,backadj,5,0.0,0.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl,collider_bias,3,0.0,0.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl,correlation,2,0.0,0.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl,ett,5,0.0,0.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl,exp_away,2,0.0,0.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl,marginal,5,0.6,0.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl,nde,4,0.0,0.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl_formal,ate,3,0.3333333333333333,0.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl_formal,backadj,5,0.0,0.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl_formal,collider_bias,3,0.0,0.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl_formal,correlation,2,0.0,0.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl_formal,ett,5,0.4,0.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl_formal,exp_away,2,0.0,0.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl_formal,marginal,5,0.0,0.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl_formal,nde,4,0.25,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,ate,1,0.0,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,collider_bias,5,0.6,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,correlation,2,0.0,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,exp_away,11,0.5454545454545454,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,marginal,1,0.0,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,nde,1,1.0,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,nie,1,0.0,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,ate,1,1.0,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,collider_bias,5,0.0,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,correlation,2,0.0,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,exp_away,11,0.36363636363636365,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,marginal,1,0.0,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,nde,1,0.0,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,nie,1,0.0,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,ate,1,0.0,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,backadj,1,0.0,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,collider_bias,5,0.0,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,correlation,3,0.3333333333333333,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,ett,2,0.0,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,exp_away,7,0.42857142857142855,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,nde,5,0.0,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,nie,1,0.0,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,ate,1,0.0,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,backadj,1,0.0,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,collider_bias,5,0.0,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,correlation,3,0.3333333333333333,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,ett,2,0.5,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,exp_away,7,0.5714285714285714,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,nde,5,0.0,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,nie,1,0.0,0.0
qwen3_8b,Qwen3-8B,stress,easy,nl,ate,1,0.0,0.0
qwen3_8b,Qwen3-8B,stress,easy,nl,backadj,1,1.0,0.0
qwen3_8b,Qwen3-8B,stress,easy,nl,collider_bias,2,0.0,0.0
qwen3_8b,Qwen3-8B,stress,easy,nl,correlation,2,0.0,0.0
qwen3_8b,Qwen3-8B,stress,easy,nl,ett,2,0.5,0.0
qwen3_8b,Qwen3-8B,stress,easy,nl,exp_away,1,0.0,0.0
qwen3_8b,Qwen3-8B,stress,easy,nl,marginal,3,0.6666666666666666,0.0
qwen3_8b,Qwen3-8B,stress,easy,nl_formal,ate,1,0.0,0.0
