model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,query_type,n_pairs,strict_ccc,invalid_pair_rate
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,ate,53,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,backadj,50,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,correlation,98,0.04081632653061224,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,det-counterfactual,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,ett,19,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,marginal,63,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,nde,45,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,nie,29,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,ate,53,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,backadj,50,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,correlation,98,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,det-counterfactual,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,ett,19,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,marginal,63,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,nde,45,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,nie,29,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,ate,53,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,backadj,50,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,correlation,98,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,det-counterfactual,1,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,ett,19,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,marginal,63,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,nde,45,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,nie,29,0.0,0.0
