model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,rung,n,accuracy,parse_rate
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,1,30,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,2,30,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,3,40,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,1,30,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,2,30,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,3,40,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,1,30,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,2,30,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,3,40,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,1,30,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,2,30,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,3,40,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,1,30,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,2,30,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,3,40,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,1,30,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,2,30,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,3,40,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,1,30,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,2,30,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,3,40,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,1,30,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,2,30,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,3,40,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,1,30,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,2,30,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,3,40,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,1,30,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,2,30,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,3,40,0.5,1.0
