model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,n_pairs,strict_ccc,invalid_pair_rate
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,22,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,22,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,25,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,25,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,12,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,12,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,17,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,17,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,29,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,29,0.0,0.0
