model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,prompt_condition,n,accuracy,parse_rate,invalid_rate,latency_sec
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,Natural Language,100,0.5,1.0,0.0,0.024439753735787235
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,NL + Formal Scaffold,100,0.5,1.0,0.0,0.02116073578945361
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,Natural Language,100,0.5,1.0,0.0,0.020824220099602827
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,NL + Formal Scaffold,100,0.5,1.0,0.0,0.01945522181689739
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,Natural Language,100,0.5,1.0,0.0,0.019425158156082034
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,NL + Formal Scaffold,100,0.5,1.0,0.0,0.01832199094060343
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,Natural Language,100,0.5,1.0,0.0,0.019503568484215066
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,NL + Formal Scaffold,100,0.5,1.0,0.0,0.01905450188962277
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,Natural Language,100,0.5,1.0,0.0,0.021340319120790808
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,NL + Formal Scaffold,100,0.5,1.0,0.0,0.018868369247065857
