model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,query_type,n_pairs,strict_ccc,invalid_pair_rate
qwen3_4b,Qwen3-4B,main,main,formula_only,ate,53,0.5849056603773585,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,backadj,50,0.0,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,correlation,98,0.5102040816326531,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,det-counterfactual,1,0.0,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,ett,19,0.21052631578947367,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,marginal,63,0.5079365079365079,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,nde,45,0.26666666666666666,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,nie,29,0.20689655172413793,0.0
qwen3_4b,Qwen3-4B,main,main,nl,ate,53,0.5471698113207547,0.0
qwen3_4b,Qwen3-4B,main,main,nl,backadj,50,0.08,0.0
qwen3_4b,Qwen3-4B,main,main,nl,correlation,98,0.6428571428571429,0.0
qwen3_4b,Qwen3-4B,main,main,nl,det-counterfactual,1,0.0,0.0
qwen3_4b,Qwen3-4B,main,main,nl,ett,19,0.15789473684210525,0.0
qwen3_4b,Qwen3-4B,main,main,nl,marginal,63,0.38095238095238093,0.0
qwen3_4b,Qwen3-4B,main,main,nl,nde,45,0.35555555555555557,0.0
qwen3_4b,Qwen3-4B,main,main,nl,nie,29,0.2413793103448276,0.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,ate,53,0.5849056603773585,0.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,backadj,50,0.08,0.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,correlation,98,0.5408163265306123,0.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,det-counterfactual,1,0.0,0.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,ett,19,0.3684210526315789,0.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,marginal,63,0.47619047619047616,0.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,nde,45,0.28888888888888886,0.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,nie,29,0.27586206896551724,0.0
