model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,query_type,n,accuracy,parse_rate
qwen3_8b,Qwen3-8B,main,main,formula_only,ate,100,0.7,1.0
qwen3_8b,Qwen3-8B,main,main,formula_only,backadj,100,0.51,1.0
qwen3_8b,Qwen3-8B,main,main,formula_only,correlation,100,0.57,1.0
qwen3_8b,Qwen3-8B,main,main,formula_only,det-counterfactual,60,0.5833333333333334,1.0
qwen3_8b,Qwen3-8B,main,main,formula_only,ett,60,0.4166666666666667,1.0
qwen3_8b,Qwen3-8B,main,main,formula_only,marginal,100,0.51,1.0
qwen3_8b,Qwen3-8B,main,main,formula_only,nde,60,0.6166666666666667,1.0
qwen3_8b,Qwen3-8B,main,main,formula_only,nie,60,0.5166666666666667,1.0
qwen3_8b,Qwen3-8B,main,main,nl,ate,100,0.76,1.0
qwen3_8b,Qwen3-8B,main,main,nl,backadj,100,0.44,1.0
qwen3_8b,Qwen3-8B,main,main,nl,correlation,100,0.55,1.0
qwen3_8b,Qwen3-8B,main,main,nl,det-counterfactual,60,0.5166666666666667,1.0
qwen3_8b,Qwen3-8B,main,main,nl,ett,60,0.45,1.0
qwen3_8b,Qwen3-8B,main,main,nl,marginal,100,0.54,1.0
qwen3_8b,Qwen3-8B,main,main,nl,nde,60,0.6333333333333333,1.0
qwen3_8b,Qwen3-8B,main,main,nl,nie,60,0.55,1.0
qwen3_8b,Qwen3-8B,main,main,nl_formal,ate,100,0.71,1.0
qwen3_8b,Qwen3-8B,main,main,nl_formal,backadj,100,0.46,1.0
qwen3_8b,Qwen3-8B,main,main,nl_formal,correlation,100,0.53,1.0
qwen3_8b,Qwen3-8B,main,main,nl_formal,det-counterfactual,60,0.48333333333333334,1.0
qwen3_8b,Qwen3-8B,main,main,nl_formal,ett,60,0.43333333333333335,1.0
qwen3_8b,Qwen3-8B,main,main,nl_formal,marginal,100,0.55,1.0
qwen3_8b,Qwen3-8B,main,main,nl_formal,nde,60,0.5666666666666667,1.0
qwen3_8b,Qwen3-8B,main,main,nl_formal,nie,60,0.5333333333333333,1.0
