model,dataset_variant,prompt_mode,parsed_label,n
qwen3_8b,anticommonsense,nl,no,53
qwen3_8b,anticommonsense,nl,yes,47
qwen3_8b,anticommonsense,nl_formal,no,64
qwen3_8b,anticommonsense,nl_formal,yes,36
qwen3_8b,commonsense,nl,no,50
qwen3_8b,commonsense,nl,yes,50
qwen3_8b,commonsense,nl_formal,no,59
qwen3_8b,commonsense,nl_formal,yes,41
qwen3_8b,easy,nl,no,61
qwen3_8b,easy,nl,yes,39
qwen3_8b,easy,nl_formal,no,62
qwen3_8b,easy,nl_formal,yes,38
qwen3_8b,hard,nl,no,63
qwen3_8b,hard,nl,yes,37
qwen3_8b,hard,nl_formal,no,67
qwen3_8b,hard,nl_formal,yes,33
qwen3_8b,noncommonsense,nl,no,71
qwen3_8b,noncommonsense,nl,yes,29
qwen3_8b,noncommonsense,nl_formal,no,72
qwen3_8b,noncommonsense,nl_formal,yes,28
