model,model_display_name,layer,mean_recovery,median_recovery,max_recovery,positive_recovery_rate,mean_normalized_recovery
qwen3_8b,Qwen3-8B,0,-0.046875,-0.125,0.625,0.2916666666666667,0.004840631081018351
qwen3_8b,Qwen3-8B,1,0.024739583333333332,0.0234375,0.75,0.5416666666666666,0.08291079748300731
qwen3_8b,Qwen3-8B,2,0.0078125,0.0078125,0.71875,0.5,-0.03141667573447876
qwen3_8b,Qwen3-8B,3,-0.018229166666666668,-0.109375,1.1875,0.4166666666666667,-0.03977860554989888
qwen3_8b,Qwen3-8B,4,-0.07421875,-0.140625,1.25,0.4166666666666667,0.14411414348527715
qwen3_8b,Qwen3-8B,5,-0.018229166666666668,-0.09375,1.96875,0.4166666666666667,0.13536056601651045
qwen3_8b,Qwen3-8B,6,-0.0859375,-0.078125,1.53125,0.4166666666666667,0.0666959239420393
qwen3_8b,Qwen3-8B,7,-0.212890625,-0.265625,2.09375,0.3333333333333333,0.25368245306434073
qwen3_8b,Qwen3-8B,8,-0.177734375,-0.125,1.9375,0.4166666666666667,0.26619836827325294
qwen3_8b,Qwen3-8B,9,-0.08626302083333333,-0.21875,1.65625,0.4166666666666667,0.27337557414268265
qwen3_8b,Qwen3-8B,10,0.11588541666666667,0.09375,3.375,0.5,0.6392081510288694
qwen3_8b,Qwen3-8B,11,0.07096354166666667,-0.1875,4.1875,0.4583333333333333,0.6349983215194304
qwen3_8b,Qwen3-8B,12,-0.07552083333333333,-0.3125,3.5,0.4166666666666667,0.2949661292564763
qwen3_8b,Qwen3-8B,13,-0.041666666666666664,-0.25,2.875,0.4166666666666667,0.016476334938682287
qwen3_8b,Qwen3-8B,14,-0.11979166666666667,-0.171875,2.5,0.375,0.045468079478987795
qwen3_8b,Qwen3-8B,15,-0.1904296875,-0.28125,2.09375,0.4583333333333333,0.06670410045532123
qwen3_8b,Qwen3-8B,16,-0.13541666666666666,-0.375,1.6875,0.4583333333333333,0.2760584585468227
qwen3_8b,Qwen3-8B,17,-0.24153645833333334,-0.453125,1.9375,0.375,0.2641411444651532
qwen3_8b,Qwen3-8B,18,-0.9309895833333334,-0.984375,3.0,0.2916666666666667,0.5745050613805472
qwen3_8b,Qwen3-8B,19,-1.0559895833333333,-1.515625,3.1875,0.3333333333333333,0.36868215794807996
qwen3_8b,Qwen3-8B,20,-1.0,-1.5,4.265625,0.375,-0.19041708553293957
qwen3_8b,Qwen3-8B,21,-1.1744791666666667,-1.921875,7.765625,0.3333333333333333,-0.02446452883188732
qwen3_8b,Qwen3-8B,22,-0.8678385416666666,-0.921875,5.453125,0.2916666666666667,-0.23141334258365798
qwen3_8b,Qwen3-8B,23,-0.5162760416666666,-1.0,7.109375,0.3333333333333333,0.15204945026306077
qwen3_8b,Qwen3-8B,24,-0.5794270833333334,-0.5625,6.609375,0.4166666666666667,0.47556764774060717
qwen3_8b,Qwen3-8B,25,-0.6490885416666666,-0.703125,7.234375,0.3333333333333333,0.5728412698637487
qwen3_8b,Qwen3-8B,26,-0.615234375,-1.234375,6.90625,0.4166666666666667,0.7177846960886609
qwen3_8b,Qwen3-8B,27,-0.5911458333333334,-0.984375,7.109375,0.375,0.8100590654664604
qwen3_8b,Qwen3-8B,28,-0.591796875,-0.828125,7.15625,0.375,0.7821146478597919
qwen3_8b,Qwen3-8B,29,-0.6497395833333334,-0.859375,7.578125,0.375,0.7200194578005809
qwen3_8b,Qwen3-8B,30,-0.798828125,-0.65625,7.390625,0.375,0.6869149124718356
qwen3_8b,Qwen3-8B,31,-0.5358072916666666,-0.8125,4.875,0.4166666666666667,1.3352346895423957
qwen3_8b,Qwen3-8B,32,-0.6647135416666666,-0.796875,4.1875,0.4166666666666667,1.321435347025693
qwen3_8b,Qwen3-8B,33,-0.9075520833333334,-1.109375,4.875,0.4166666666666667,1.3955062542533003
qwen3_8b,Qwen3-8B,34,-0.8763020833333334,-1.078125,5.21875,0.4166666666666667,0.8193780892749759
qwen3_8b,Qwen3-8B,35,-0.8138020833333334,-0.265625,5.3125,0.4583333333333333,1.0
