model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,metric,estimate,ci_low,ci_high,n_bootstrap
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,strict_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,correct_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,wrong_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,scca,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,signed_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_query,strict_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_query,correct_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_query,wrong_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_query,scca,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_query,signed_ccc,0.0,0.0,0.0,1000
qwen3_4b,Qwen3-4B,main,main,nl_var_graph,strict_ccc,0.45251396648044695,0.4022346368715084,0.5027932960893855,1000
qwen3_4b,Qwen3-4B,main,main,nl_var_graph,correct_flip,0.3463687150837989,0.3016061452513967,0.39664804469273746,1000
qwen3_4b,Qwen3-4B,main,main,nl_var_graph,wrong_flip,0.10614525139664804,0.0782122905027933,0.13966480446927373,1000
qwen3_4b,Qwen3-4B,main,main,nl_var_graph,scca,0.3463687150837989,0.2988826815642458,0.396717877094972,1000
qwen3_4b,Qwen3-4B,main,main,nl_var_graph,signed_ccc,0.24022346368715083,0.1759078212290503,0.30446927374301674,1000
qwen3_4b,Qwen3-4B,main,main,nl_var_query,strict_ccc,0.39664804469273746,0.34916201117318435,0.44692737430167595,1000
qwen3_4b,Qwen3-4B,main,main,nl_var_query,correct_flip,0.2709497206703911,0.22905027932960895,0.31843575418994413,1000
qwen3_4b,Qwen3-4B,main,main,nl_var_query,wrong_flip,0.12569832402234637,0.09497206703910614,0.15928770949720664,1000
qwen3_4b,Qwen3-4B,main,main,nl_var_query,scca,0.2709497206703911,0.22618715083798885,0.31291899441340776,1000
qwen3_4b,Qwen3-4B,main,main,nl_var_query,signed_ccc,0.1452513966480447,0.08100558659217877,0.20670391061452514,1000
qwen3_8b,Qwen3-8B,main,main,nl_var_graph,strict_ccc,0.46089385474860334,0.4106145251396648,0.5111731843575419,1000
qwen3_8b,Qwen3-8B,main,main,nl_var_graph,correct_flip,0.30726256983240224,0.2569832402234637,0.3547486033519553,1000
qwen3_8b,Qwen3-8B,main,main,nl_var_graph,wrong_flip,0.15363128491620112,0.11731843575418995,0.18994413407821228,1000
qwen3_8b,Qwen3-8B,main,main,nl_var_graph,scca,0.30726256983240224,0.2569832402234637,0.3575418994413408,1000
qwen3_8b,Qwen3-8B,main,main,nl_var_graph,signed_ccc,0.15363128491620112,0.08659217877094973,0.21787709497206703,1000
qwen3_8b,Qwen3-8B,main,main,nl_var_query,strict_ccc,0.41620111731843573,0.36312849162011174,0.46655027932960885,1000
qwen3_8b,Qwen3-8B,main,main,nl_var_query,correct_flip,0.26256983240223464,0.21508379888268156,0.3100558659217877,1000
qwen3_8b,Qwen3-8B,main,main,nl_var_query,wrong_flip,0.15363128491620112,0.11731843575418995,0.18994413407821228,1000
qwen3_8b,Qwen3-8B,main,main,nl_var_query,scca,0.26256983240223464,0.21787709497206703,0.3100558659217877,1000
qwen3_8b,Qwen3-8B,main,main,nl_var_query,signed_ccc,0.10893854748603352,0.04741620111731844,0.1760474860335195,1000
