eval_set,model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,n_pairs,n_valid_pairs,strict_ccc,correct_flip_rate,wrong_flip_rate,invariant_yes_rate,invariant_no_rate,scca,signed_ccc,invalid_pair_rate,split
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_nl,1659,1659,0.42254370102471367,0.2857142857142857,0.13682941531042797,0.2121760096443641,0.36528028933092227,0.2857142857142857,0.14888487040385773,0.0,0
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_symbolic,1659,1659,0.46473779385171793,0.28872814948764314,0.17600964436407474,0.13682941531042797,0.39843279083785416,0.28872814948764314,0.1127185051235684,0.0,0
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,confidence_by_query,1659,1659,0.4816154309825196,0.30982519590114527,0.1717902350813743,0.17902350813743217,0.33936106088004825,0.30982519590114527,0.13803496081977096,0.0,0
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,query_router,1659,1659,0.48583484026522,0.31042796865581673,0.17540687160940324,0.1838456901748041,0.3303194695599759,0.31042796865581673,0.1350210970464135,0.0,0
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_nl,1578,1578,0.34790874524714827,0.21102661596958175,0.13688212927756654,0.2858048162230672,0.36628643852978454,0.21102661596958175,0.0741444866920152,0.0,1
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_symbolic,1578,1578,0.458808618504436,0.2788339670468948,0.17997465145754118,0.17870722433460076,0.36248415716096327,0.2788339670468948,0.0988593155893536,0.0,1
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,confidence_by_query,1578,1578,0.41064638783269963,0.25285171102661597,0.15779467680608364,0.22306717363751585,0.36628643852978454,0.25285171102661597,0.09505703422053233,0.0,1
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,query_router,1578,1578,0.4100126742712294,0.2522179974651457,0.15779467680608364,0.23067173637515842,0.3593155893536122,0.2522179974651457,0.09442332065906209,0.0,1
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_nl,1711,1711,0.3950905902980713,0.2571595558153127,0.13793103448275862,0.19111630625365283,0.41379310344827586,0.2571595558153127,0.11922852133255407,0.0,2
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_symbolic,1711,1711,0.47866744593804794,0.30099357101110463,0.1776738749269433,0.10695499707773232,0.41437755698421974,0.30099357101110463,0.12331969608416132,0.0,2
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,confidence_by_query,1711,1711,0.4418468731735827,0.2910578609000584,0.15078901227352426,0.1472822910578609,0.4108708357685564,0.2910578609000584,0.14026884862653416,0.0,2
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,query_router,1711,1711,0.4488603156049094,0.293395675043834,0.1554646405610754,0.14436002337814144,0.4067796610169492,0.293395675043834,0.13793103448275862,0.0,2
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_nl,1744,1744,0.3738532110091743,0.286697247706422,0.0871559633027523,0.22878440366972477,0.3973623853211009,0.286697247706422,0.19954128440366972,0.0,3
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_symbolic,1744,1744,0.48853211009174313,0.33256880733944955,0.1559633027522936,0.12442660550458716,0.38704128440366975,0.33256880733944955,0.17660550458715596,0.0,3
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,confidence_by_query,1744,1744,0.3876146788990826,0.29243119266055045,0.09518348623853211,0.18635321100917432,0.42603211009174313,0.29243119266055045,0.19724770642201833,0.0,3
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,query_router,1744,1744,0.41857798165137616,0.30275229357798167,0.1158256880733945,0.15424311926605505,0.4271788990825688,0.30275229357798167,0.18692660550458717,0.0,3
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_nl,1471,1471,0.42352141400407883,0.3167912984364378,0.10673011556764106,0.23045547246770903,0.3460231135282121,0.3167912984364378,0.21006118286879671,0.0,4
