eval_set,split,model,model_display_name,prompt_mode,prompt_condition,n,accuracy,symbolic_selection_rate
control_cv,0,qwen3_4b,Qwen3-4B,always_nl,Always NL,1072,0.5764925373134329,0.0
control_cv,0,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1072,0.566231343283582,1.0
control_cv,0,qwen3_4b,Qwen3-4B,query_router,Query Router,1072,0.5736940298507462,0.6296641791044776
control_cv,0,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1072,0.5811567164179104,0.5746268656716418
control_cv,1,qwen3_4b,Qwen3-4B,always_nl,Always NL,1020,0.5519607843137255,0.0
control_cv,1,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1020,0.5617647058823529,1.0
control_cv,1,qwen3_4b,Qwen3-4B,query_router,Query Router,1020,0.5637254901960784,0.3715686274509804
control_cv,1,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1020,0.5666666666666667,0.4519607843137255
control_cv,2,qwen3_4b,Qwen3-4B,always_nl,Always NL,1074,0.5763500931098696,0.0
control_cv,2,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1074,0.5772811918063314,1.0
control_cv,2,qwen3_4b,Qwen3-4B,query_router,Query Router,1074,0.5791433891992551,0.5121042830540037
control_cv,2,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1074,0.5856610800744879,0.4543761638733706
control_cv,3,qwen3_4b,Qwen3-4B,always_nl,Always NL,1035,0.6077294685990338,0.0
control_cv,3,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1035,0.5826086956521739,1.0
control_cv,3,qwen3_4b,Qwen3-4B,query_router,Query Router,1035,0.58743961352657,0.8792270531400966
control_cv,3,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1035,0.6019323671497585,0.6260869565217392
control_cv,4,qwen3_4b,Qwen3-4B,always_nl,Always NL,911,0.6092206366630076,0.0
control_cv,4,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,911,0.6136114160263447,1.0
control_cv,4,qwen3_4b,Qwen3-4B,query_router,Query Router,911,0.610318331503842,0.40175631174533477
control_cv,4,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,911,0.6201975850713501,0.5686059275521405
control_cv,5,qwen3_4b,Qwen3-4B,always_nl,Always NL,978,0.5961145194274029,0.0
control_cv,5,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,978,0.588957055214724,1.0
control_cv,5,qwen3_4b,Qwen3-4B,query_router,Query Router,978,0.5940695296523517,0.6094069529652352
control_cv,5,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,978,0.6022494887525562,0.5204498977505112
control_cv,6,qwen3_4b,Qwen3-4B,always_nl,Always NL,1035,0.5980676328502416,0.0
control_cv,6,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1035,0.6019323671497585,1.0
control_cv,6,qwen3_4b,Qwen3-4B,query_router,Query Router,1035,0.6154589371980677,0.6019323671497585
control_cv,6,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1035,0.6260869565217392,0.5333333333333333
control_cv,7,qwen3_4b,Qwen3-4B,always_nl,Always NL,1069,0.5640785781103835,0.0
control_cv,7,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1069,0.5724976613657624,1.0
control_cv,7,qwen3_4b,Qwen3-4B,query_router,Query Router,1069,0.5771749298409729,0.49859681945743684
control_cv,7,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1069,0.5706267539756782,0.41721234798877455
control_cv,8,qwen3_4b,Qwen3-4B,always_nl,Always NL,980,0.6357142857142857,0.0
control_cv,8,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,980,0.6163265306122448,1.0
control_cv,8,qwen3_4b,Qwen3-4B,query_router,Query Router,980,0.6163265306122448,0.5938775510204082
control_cv,8,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,980,0.6183673469387755,0.563265306122449
control_cv,9,qwen3_4b,Qwen3-4B,always_nl,Always NL,1082,0.5582255083179297,0.0
control_cv,9,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1082,0.5582255083179297,1.0
control_cv,9,qwen3_4b,Qwen3-4B,query_router,Query Router,1082,0.5646950092421442,0.7384473197781886
control_cv,9,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1082,0.5711645101663586,0.566543438077634
control_cv,10,qwen3_4b,Qwen3-4B,always_nl,Always NL,969,0.5562435500515995,0.0
control_cv,10,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,969,0.5521155830753354,1.0
control_cv,10,qwen3_4b,Qwen3-4B,query_router,Query Router,969,0.564499484004128,0.5944272445820433
control_cv,10,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,969,0.5624355005159959,0.5655314757481941
control_cv,11,qwen3_4b,Qwen3-4B,always_nl,Always NL,992,0.592741935483871,0.0
control_cv,11,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,992,0.594758064516129,1.0
control_cv,11,qwen3_4b,Qwen3-4B,query_router,Query Router,992,0.5897177419354839,0.5050403225806451
