eval_set,model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,n_pairs,n_valid_pairs,strict_ccc,correct_flip_rate,wrong_flip_rate,invariant_yes_rate,invariant_no_rate,scca,signed_ccc,invalid_pair_rate
main_full_transfer,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_nl,358,358,0.40502793296089384,0.3016759776536313,0.10335195530726257,0.22905027932960895,0.3659217877094972,0.3016759776536313,0.19832402234636873,0.0
main_full_transfer,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_symbolic,358,358,0.4692737430167598,0.33798882681564246,0.13128491620111732,0.16201117318435754,0.3687150837988827,0.33798882681564246,0.20670391061452514,0.0
main_full_transfer,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,confidence_by_query,358,358,0.44692737430167595,0.33798882681564246,0.10893854748603352,0.19832402234636873,0.3547486033519553,0.33798882681564246,0.22905027932960895,0.0
main_full_transfer,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,query_router,358,358,0.46089385474860334,0.36033519553072624,0.1005586592178771,0.16759776536312848,0.3715083798882682,0.36033519553072624,0.25977653631284914,0.0
main_full_transfer,qwen3_8b,Qwen3-8B,adaptive_routing,adaptive_routing,always_nl,358,358,0.4441340782122905,0.30446927374301674,0.13966480446927373,0.3435754189944134,0.2122905027932961,0.30446927374301674,0.164804469273743,0.0
main_full_transfer,qwen3_8b,Qwen3-8B,adaptive_routing,adaptive_routing,always_symbolic,358,358,0.42178770949720673,0.2849162011173184,0.13687150837988826,0.441340782122905,0.13687150837988826,0.2849162011173184,0.14804469273743015,0.0
main_full_transfer,qwen3_8b,Qwen3-8B,adaptive_routing,adaptive_routing,confidence_by_query,358,358,0.4301675977653631,0.3016759776536313,0.12849162011173185,0.4273743016759777,0.1424581005586592,0.3016759776536313,0.17318435754189945,0.0
main_full_transfer,qwen3_8b,Qwen3-8B,adaptive_routing,adaptive_routing,query_router,358,358,0.48324022346368717,0.3407821229050279,0.1424581005586592,0.3687150837988827,0.14804469273743018,0.3407821229050279,0.1983240223463687,0.0
main_nonoverlap_transfer,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_nl,163,163,0.4233128834355828,0.3006134969325153,0.12269938650306748,0.22699386503067484,0.3496932515337423,0.3006134969325153,0.17791411042944782,0.0
main_nonoverlap_transfer,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_symbolic,163,163,0.4539877300613497,0.3558282208588957,0.09815950920245399,0.1656441717791411,0.3803680981595092,0.3558282208588957,0.25766871165644173,0.0
main_nonoverlap_transfer,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,confidence_by_query,163,163,0.4662576687116564,0.3619631901840491,0.10429447852760736,0.1901840490797546,0.34355828220858897,0.3619631901840491,0.25766871165644173,0.0
main_nonoverlap_transfer,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,query_router,163,163,0.49693251533742333,0.38650306748466257,0.11042944785276074,0.15337423312883436,0.3496932515337423,0.38650306748466257,0.2760736196319018,0.0
main_nonoverlap_transfer,qwen3_8b,Qwen3-8B,adaptive_routing,adaptive_routing,always_nl,163,163,0.50920245398773,0.31901840490797545,0.1901840490797546,0.3312883435582822,0.15950920245398773,0.31901840490797545,0.12883435582822084,0.0
main_nonoverlap_transfer,qwen3_8b,Qwen3-8B,adaptive_routing,adaptive_routing,always_symbolic,163,163,0.48466257668711654,0.3067484662576687,0.17791411042944785,0.3496932515337423,0.1656441717791411,0.3067484662576687,0.12883435582822086,0.0
main_nonoverlap_transfer,qwen3_8b,Qwen3-8B,adaptive_routing,adaptive_routing,confidence_by_query,163,163,0.48466257668711654,0.3006134969325153,0.18404907975460122,0.3619631901840491,0.15337423312883436,0.3006134969325153,0.1165644171779141,0.0
main_nonoverlap_transfer,qwen3_8b,Qwen3-8B,adaptive_routing,adaptive_routing,query_router,163,163,0.5337423312883436,0.3558282208588957,0.17791411042944785,0.2883435582822086,0.17791411042944785,0.3558282208588957,0.17791411042944785,0.0
