model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,metric,estimate,ci_low,ci_high,n_bootstrap
qwen3_0_6b,Qwen3-0.6B,main,main,nl,accuracy,0.5,0.4640625,0.5421875,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_binary_score,accuracy,0.5,0.4625,0.5375,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,accuracy,0.5,0.4625,0.540625,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal_binary_score,accuracy,0.5,0.4625,0.5390625,1000
qwen3_0_6b,Qwen3-0.6B,main,main,symbolic_solver_concise,accuracy,0.4953125,0.4577734375,0.5328125,1000
qwen3_0_6b,Qwen3-0.6B,main,main,symbolic_solver_concise_binary_score,accuracy,0.5,0.45933593749999996,0.540625,1000
qwen3_4b,Qwen3-4B,main,main,nl,accuracy,0.5953125,0.5578125,0.6296875,1000
qwen3_4b,Qwen3-4B,main,main,nl_binary_score,accuracy,0.6,0.5609375,0.6390625,1000
qwen3_4b,Qwen3-4B,main,main,nl_formal,accuracy,0.56875,0.53125,0.6078125,1000
qwen3_4b,Qwen3-4B,main,main,nl_formal_binary_score,accuracy,0.56875,0.53125,0.6078125,1000
qwen3_4b,Qwen3-4B,main,main,symbolic_solver_concise,accuracy,0.5671875,0.525,0.6046875,1000
qwen3_4b,Qwen3-4B,main,main,symbolic_solver_concise_binary_score,accuracy,0.584375,0.54375,0.621875,1000
qwen3_8b,Qwen3-8B,main,main,nl,accuracy,0.5609375,0.5233984375,0.5984765624999999,1000
qwen3_8b,Qwen3-8B,main,main,nl_binary_score,accuracy,0.5546875,0.5171875,0.590625,1000
qwen3_8b,Qwen3-8B,main,main,nl_formal,accuracy,0.5453125,0.5078125,0.5828125,1000
qwen3_8b,Qwen3-8B,main,main,nl_formal_binary_score,accuracy,0.5359375,0.4953125,0.575,1000
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,accuracy,0.571875,0.534375,0.6109375,1000
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise_binary_score,accuracy,0.5828125,0.546875,0.61875,1000
