model,model_display_name,query_type,nl_generation,symbolic_generation,nl_binary_score,nl_formal_binary_score,symbolic_binary_score
qwen3_0_6b,Qwen3-0.6B,ate,0.5,0.5,0.5,0.5,0.5
qwen3_0_6b,Qwen3-0.6B,backadj,0.5,0.5,0.5,0.5,0.5
qwen3_0_6b,Qwen3-0.6B,correlation,0.5,0.5,0.5,0.5,0.5
qwen3_0_6b,Qwen3-0.6B,det-counterfactual,0.5,0.48333333333333334,0.5,0.5,0.5
qwen3_0_6b,Qwen3-0.6B,ett,0.5,0.5,0.5,0.5,0.5
qwen3_0_6b,Qwen3-0.6B,marginal,0.5,0.5,0.5,0.5,0.5
qwen3_0_6b,Qwen3-0.6B,nde,0.5,0.5,0.5,0.5,0.5
qwen3_0_6b,Qwen3-0.6B,nie,0.5,0.4666666666666667,0.5,0.5,0.5
qwen3_4b,Qwen3-4B,ate,0.74,0.76,0.75,0.71,0.78
qwen3_4b,Qwen3-4B,backadj,0.52,0.56,0.52,0.52,0.54
qwen3_4b,Qwen3-4B,correlation,0.65,0.6,0.65,0.56,0.62
qwen3_4b,Qwen3-4B,det-counterfactual,0.5833333333333334,0.5333333333333333,0.5833333333333334,0.5833333333333334,0.5333333333333333
qwen3_4b,Qwen3-4B,ett,0.4666666666666667,0.36666666666666664,0.48333333333333334,0.4,0.45
qwen3_4b,Qwen3-4B,marginal,0.53,0.53,0.54,0.56,0.53
qwen3_4b,Qwen3-4B,nde,0.6166666666666667,0.5166666666666667,0.6333333333333333,0.6166666666666667,0.48333333333333334
qwen3_4b,Qwen3-4B,nie,0.6166666666666667,0.55,0.6,0.55,0.65
qwen3_8b,Qwen3-8B,ate,0.76,0.82,0.76,0.7,0.8
qwen3_8b,Qwen3-8B,backadj,0.44,0.46,0.44,0.45,0.48
qwen3_8b,Qwen3-8B,correlation,0.55,0.5,0.55,0.54,0.53
qwen3_8b,Qwen3-8B,det-counterfactual,0.5333333333333333,0.5833333333333334,0.48333333333333334,0.5166666666666667,0.5
qwen3_8b,Qwen3-8B,ett,0.45,0.3333333333333333,0.43333333333333335,0.43333333333333335,0.35
qwen3_8b,Qwen3-8B,marginal,0.53,0.5,0.52,0.53,0.55
qwen3_8b,Qwen3-8B,nde,0.6333333333333333,0.6833333333333333,0.6666666666666666,0.5666666666666667,0.7666666666666667
qwen3_8b,Qwen3-8B,nie,0.5666666666666667,0.7,0.55,0.5,0.6666666666666666
