model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,rung,n,accuracy,parse_rate
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,1,200,0.515,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,2,200,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,3,240,0.5041666666666667,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,1,200,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,2,200,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,3,240,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,1,200,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,2,200,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,3,240,0.5,1.0
qwen3_4b,Qwen3-4B,main,main,formula_only,1,200,0.575,1.0
qwen3_4b,Qwen3-4B,main,main,formula_only,2,200,0.605,1.0
qwen3_4b,Qwen3-4B,main,main,formula_only,3,240,0.5208333333333334,1.0
qwen3_4b,Qwen3-4B,main,main,nl,1,200,0.59,1.0
qwen3_4b,Qwen3-4B,main,main,nl,2,200,0.63,1.0
qwen3_4b,Qwen3-4B,main,main,nl,3,240,0.5708333333333333,1.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,1,200,0.565,1.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,2,200,0.625,1.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,3,240,0.525,1.0
qwen3_8b,Qwen3-8B,main,main,formula_only,1,200,0.53,1.0
qwen3_8b,Qwen3-8B,main,main,formula_only,2,200,0.6,1.0
qwen3_8b,Qwen3-8B,main,main,formula_only,3,240,0.5333333333333333,1.0
qwen3_8b,Qwen3-8B,main,main,nl,1,200,0.54,1.0
qwen3_8b,Qwen3-8B,main,main,nl,2,200,0.6,1.0
qwen3_8b,Qwen3-8B,main,main,nl,3,240,0.5458333333333333,1.0
qwen3_8b,Qwen3-8B,main,main,nl_formal,1,200,0.555,1.0
qwen3_8b,Qwen3-8B,main,main,nl_formal,2,200,0.58,1.0
qwen3_8b,Qwen3-8B,main,main,nl_formal,3,240,0.5083333333333333,1.0
