model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,metric,estimate,ci_low,ci_high,n_bootstrap
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,strict_ccc,0.0111731843575419,0.0,0.0223463687150838,1000
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,correct_flip,0.0111731843575419,0.002793296089385475,0.0223463687150838,1000
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,wrong_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,scca,0.0111731843575419,0.002793296089385475,0.0223463687150838,1000
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,signed_ccc,0.0111731843575419,0.002793296089385475,0.0223463687150838,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl,strict_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl,correct_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl,wrong_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl,scca,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl,signed_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,strict_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,correct_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,wrong_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,scca,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,signed_ccc,0.0,0.0,0.0,1000
qwen3_4b,Qwen3-4B,main,main,formula_only,strict_ccc,0.3770949720670391,0.32395251396648045,0.4273743016759777,1000
qwen3_4b,Qwen3-4B,main,main,formula_only,correct_flip,0.2569832402234637,0.21787709497206703,0.3016759776536313,1000
qwen3_4b,Qwen3-4B,main,main,formula_only,wrong_flip,0.12011173184357542,0.0893854748603352,0.1564245810055866,1000
qwen3_4b,Qwen3-4B,main,main,formula_only,scca,0.2569832402234637,0.2122905027932961,0.3016759776536313,1000
qwen3_4b,Qwen3-4B,main,main,formula_only,signed_ccc,0.13687150837988826,0.08379888268156424,0.19553072625698323,1000
qwen3_4b,Qwen3-4B,main,main,nl,strict_ccc,0.40782122905027934,0.3575418994413408,0.45537709497206696,1000
qwen3_4b,Qwen3-4B,main,main,nl,correct_flip,0.2905027932960894,0.2430167597765363,0.33798882681564246,1000
qwen3_4b,Qwen3-4B,main,main,nl,wrong_flip,0.11731843575418995,0.08659217877094973,0.15363128491620112,1000
qwen3_4b,Qwen3-4B,main,main,nl,scca,0.2905027932960894,0.24581005586592178,0.33519553072625696,1000
qwen3_4b,Qwen3-4B,main,main,nl,signed_ccc,0.17318435754189945,0.10893854748603352,0.24022346368715083,1000
qwen3_4b,Qwen3-4B,main,main,nl_formal,strict_ccc,0.40782122905027934,0.3547486033519553,0.4581005586592179,1000
qwen3_4b,Qwen3-4B,main,main,nl_formal,correct_flip,0.28212290502793297,0.23743016759776536,0.3324022346368715,1000
qwen3_4b,Qwen3-4B,main,main,nl_formal,wrong_flip,0.12569832402234637,0.09217877094972067,0.15921787709497207,1000
qwen3_4b,Qwen3-4B,main,main,nl_formal,scca,0.28212290502793297,0.2346368715083799,0.3268156424581006,1000
qwen3_4b,Qwen3-4B,main,main,nl_formal,signed_ccc,0.1564245810055866,0.09497206703910614,0.21787709497206703,1000
qwen3_8b,Qwen3-8B,main,main,formula_only,strict_ccc,0.40782122905027934,0.3575418994413408,0.4581005586592179,1000
qwen3_8b,Qwen3-8B,main,main,formula_only,correct_flip,0.276536312849162,0.22905027932960895,0.3212988826815642,1000
qwen3_8b,Qwen3-8B,main,main,formula_only,wrong_flip,0.13128491620111732,0.09776536312849161,0.16759776536312848,1000
qwen3_8b,Qwen3-8B,main,main,formula_only,scca,0.276536312849162,0.22905027932960895,0.31843575418994413,1000
qwen3_8b,Qwen3-8B,main,main,formula_only,signed_ccc,0.1452513966480447,0.08379888268156424,0.20391061452513967,1000
qwen3_8b,Qwen3-8B,main,main,nl,strict_ccc,0.4441340782122905,0.39385474860335196,0.49162011173184356,1000
qwen3_8b,Qwen3-8B,main,main,nl,correct_flip,0.3016759776536313,0.2541899441340782,0.34916201117318435,1000
qwen3_8b,Qwen3-8B,main,main,nl,wrong_flip,0.1424581005586592,0.10614525139664804,0.17884078212290497,1000
qwen3_8b,Qwen3-8B,main,main,nl,scca,0.3016759776536313,0.25691340782122907,0.34916201117318435,1000
qwen3_8b,Qwen3-8B,main,main,nl,signed_ccc,0.15921787709497207,0.0893854748603352,0.23184357541899442,1000
qwen3_8b,Qwen3-8B,main,main,nl_formal,strict_ccc,0.4720670391061452,0.41899441340782123,0.5251396648044693,1000
qwen3_8b,Qwen3-8B,main,main,nl_formal,correct_flip,0.3128491620111732,0.26536312849162014,0.36312849162011174,1000
qwen3_8b,Qwen3-8B,main,main,nl_formal,wrong_flip,0.15921787709497207,0.12290502793296089,0.19832402234636873,1000
qwen3_8b,Qwen3-8B,main,main,nl_formal,scca,0.3128491620111732,0.2709497206703911,0.36312849162011174,1000
qwen3_8b,Qwen3-8B,main,main,nl_formal,signed_ccc,0.15363128491620112,0.08379888268156424,0.22346368715083798,1000
