model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,query_type,n_pairs,n_valid_pairs,strict_ccc,correct_flip_rate,wrong_flip_rate,invariant_yes_rate,invariant_no_rate,scca,signed_ccc,invalid_pair_rate
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,ate,53,53,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,backadj,50,50,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,correlation,98,98,0.04081632653061224,0.04081632653061224,0.0,0.9591836734693877,0.0,0.04081632653061224,0.04081632653061224,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,det-counterfactual,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,ett,19,19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,marginal,63,63,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,nde,45,45,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,nie,29,29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,ate,53,53,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,backadj,50,50,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,correlation,98,98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,det-counterfactual,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,ett,19,19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,marginal,63,63,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,nde,45,45,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,nie,29,29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,ate,53,53,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,backadj,50,50,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,correlation,98,98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,det-counterfactual,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,ett,19,19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,marginal,63,63,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,nde,45,45,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,nie,29,29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,ate,53,53,0.5849056603773585,0.4528301886792453,0.1320754716981132,0.3018867924528302,0.11320754716981132,0.4528301886792453,0.3207547169811321,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,backadj,50,50,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,correlation,98,98,0.5102040816326531,0.37755102040816324,0.1326530612244898,0.35714285714285715,0.1326530612244898,0.37755102040816324,0.24489795918367344,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,det-counterfactual,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,ett,19,19,0.21052631578947367,0.0,0.21052631578947367,0.0,0.7894736842105263,0.0,-0.21052631578947367,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,marginal,63,63,0.5079365079365079,0.2698412698412698,0.23809523809523808,0.20634920634920634,0.2857142857142857,0.2698412698412698,0.031746031746031744,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,nde,45,45,0.26666666666666666,0.2,0.06666666666666667,0.06666666666666667,0.6666666666666666,0.2,0.13333333333333336,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,nie,29,29,0.20689655172413793,0.1724137931034483,0.034482758620689655,0.6206896551724138,0.1724137931034483,0.1724137931034483,0.13793103448275862,0.0
qwen3_4b,Qwen3-4B,main,main,nl,ate,53,53,0.5471698113207547,0.39622641509433965,0.1509433962264151,0.32075471698113206,0.1320754716981132,0.39622641509433965,0.24528301886792456,0.0
qwen3_4b,Qwen3-4B,main,main,nl,backadj,50,50,0.08,0.08,0.0,0.0,0.92,0.08,0.08,0.0
qwen3_4b,Qwen3-4B,main,main,nl,correlation,98,98,0.6428571428571429,0.46938775510204084,0.17346938775510204,0.23469387755102042,0.12244897959183673,0.46938775510204084,0.29591836734693877,0.0
qwen3_4b,Qwen3-4B,main,main,nl,det-counterfactual,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
qwen3_4b,Qwen3-4B,main,main,nl,ett,19,19,0.15789473684210525,0.0,0.15789473684210525,0.0,0.8421052631578947,0.0,-0.15789473684210525,0.0
qwen3_4b,Qwen3-4B,main,main,nl,marginal,63,63,0.38095238095238093,0.23809523809523808,0.14285714285714285,0.1111111111111111,0.5079365079365079,0.23809523809523808,0.09523809523809523,0.0
qwen3_4b,Qwen3-4B,main,main,nl,nde,45,45,0.35555555555555557,0.26666666666666666,0.08888888888888889,0.15555555555555556,0.4888888888888889,0.26666666666666666,0.17777777777777776,0.0
qwen3_4b,Qwen3-4B,main,main,nl,nie,29,29,0.2413793103448276,0.20689655172413793,0.034482758620689655,0.7241379310344828,0.034482758620689655,0.20689655172413793,0.1724137931034483,0.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,ate,53,53,0.5849056603773585,0.41509433962264153,0.16981132075471697,0.24528301886792453,0.16981132075471697,0.41509433962264153,0.24528301886792456,0.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,backadj,50,50,0.08,0.08,0.0,0.0,0.92,0.08,0.08,0.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,correlation,98,98,0.5408163265306123,0.3469387755102041,0.19387755102040816,0.19387755102040816,0.2653061224489796,0.3469387755102041,0.15306122448979592,0.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,det-counterfactual,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,ett,19,19,0.3684210526315789,0.15789473684210525,0.21052631578947367,0.05263157894736842,0.5789473684210527,0.15789473684210525,-0.05263157894736842,0.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,marginal,63,63,0.47619047619047616,0.3492063492063492,0.12698412698412698,0.19047619047619047,0.3333333333333333,0.3492063492063492,0.2222222222222222,0.0
