model,dataset_variant,prompt_mode,parsed_label,n
qwen3_0_6b,main,formula_only,no,4
qwen3_0_6b,main,formula_only,yes,636
qwen3_0_6b,main,nl,yes,640
qwen3_0_6b,main,nl_formal,yes,640
qwen3_4b,main,formula_only,no,405
qwen3_4b,main,formula_only,yes,235
qwen3_4b,main,nl,no,395
qwen3_4b,main,nl,yes,245
qwen3_4b,main,nl_formal,no,418
qwen3_4b,main,nl_formal,yes,222
qwen3_8b,main,formula_only,no,344
qwen3_8b,main,formula_only,yes,296
qwen3_8b,main,nl,no,305
qwen3_8b,main,nl,yes,335
qwen3_8b,main,nl_formal,no,327
qwen3_8b,main,nl_formal,yes,313
