model,model_display_name,diagnostic_source,dataset_variant,transition_pattern,n,total,rate
qwen3_0_6b,Qwen3-0.6B,main,main,C-C-C,320,640,0.5
qwen3_0_6b,Qwen3-0.6B,main,main,W-W-C,4,640,0.00625
qwen3_0_6b,Qwen3-0.6B,main,main,W-W-W,316,640,0.49375
qwen3_4b,Qwen3-4B,main,main,C-C-C,304,640,0.475
qwen3_4b,Qwen3-4B,main,main,C-C-W,34,640,0.053125
qwen3_4b,Qwen3-4B,main,main,C-W-C,21,640,0.0328125
qwen3_4b,Qwen3-4B,main,main,C-W-W,22,640,0.034375
qwen3_4b,Qwen3-4B,main,main,W-C-C,13,640,0.0203125
qwen3_4b,Qwen3-4B,main,main,W-C-W,13,640,0.0203125
qwen3_4b,Qwen3-4B,main,main,W-W-C,23,640,0.0359375
qwen3_4b,Qwen3-4B,main,main,W-W-W,210,640,0.328125
qwen3_8b,Qwen3-8B,main,main,C-C-C,278,640,0.434375
qwen3_8b,Qwen3-8B,main,main,C-C-W,48,640,0.075
qwen3_8b,Qwen3-8B,main,main,C-W-C,15,640,0.0234375
qwen3_8b,Qwen3-8B,main,main,C-W-W,18,640,0.028125
qwen3_8b,Qwen3-8B,main,main,W-C-C,15,640,0.0234375
qwen3_8b,Qwen3-8B,main,main,W-C-W,8,640,0.0125
qwen3_8b,Qwen3-8B,main,main,W-W-C,46,640,0.071875
qwen3_8b,Qwen3-8B,main,main,W-W-W,212,640,0.33125
