model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,metric,estimate,ci_low,ci_high,n_bootstrap
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,accuracy,0.50625,0.46875,0.546875,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl,accuracy,0.5,0.4625,0.5375,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,accuracy,0.5,0.4625,0.540625,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,accuracy,0.5,0.4625,0.5390625,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_query,accuracy,0.5,0.4609375,0.5375,1000
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,accuracy,0.5,0.4,0.59,1000
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,accuracy,0.5,0.39,0.59,1000
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,accuracy,0.5,0.4,0.6,1000
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,accuracy,0.5,0.4,0.59,1000
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,accuracy,0.5,0.4,0.6,1000
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,accuracy,0.5,0.4,0.6,1000
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,accuracy,0.5,0.4,0.6,1000
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,accuracy,0.5,0.40975,0.6,1000
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,accuracy,0.5,0.4,0.6,1000
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,accuracy,0.5,0.4,0.6,1000
qwen3_4b,Qwen3-4B,main,main,formula_only,accuracy,0.5640625,0.5265625,0.6000390624999999,1000
qwen3_4b,Qwen3-4B,main,main,nl,accuracy,0.5953125,0.5578125,0.6328515625,1000
qwen3_4b,Qwen3-4B,main,main,nl_formal,accuracy,0.56875,0.5327734375000001,0.6078125,1000
qwen3_4b,Qwen3-4B,main,main,nl_var_graph,accuracy,0.5953125,0.55625,0.6296875,1000
qwen3_4b,Qwen3-4B,main,main,nl_var_query,accuracy,0.56875,0.5296875,0.6046875,1000
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,accuracy,0.47,0.37,0.57,1000
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,accuracy,0.52,0.42,0.61,1000
qwen3_4b,Qwen3-4B,stress,commonsense,nl,accuracy,0.51,0.41,0.6,1000
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,accuracy,0.55,0.45,0.65,1000
qwen3_4b,Qwen3-4B,stress,easy,nl,accuracy,0.49,0.39,0.59,1000
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,accuracy,0.48,0.38975000000000004,0.58,1000
qwen3_4b,Qwen3-4B,stress,hard,nl,accuracy,0.49,0.39,0.59,1000
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,accuracy,0.5,0.4,0.59,1000
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl,accuracy,0.48,0.38,0.5702499999999997,1000
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl_formal,accuracy,0.49,0.4,0.59,1000
qwen3_8b,Qwen3-8B,main,main,formula_only,accuracy,0.553125,0.5140625,0.590625,1000
qwen3_8b,Qwen3-8B,main,main,nl,accuracy,0.5609375,0.521875,0.6016015625,1000
qwen3_8b,Qwen3-8B,main,main,nl_formal,accuracy,0.5453125,0.5062109375,0.58125,1000
qwen3_8b,Qwen3-8B,main,main,nl_var_graph,accuracy,0.5609375,0.5203125,0.6015625,1000
qwen3_8b,Qwen3-8B,main,main,nl_var_query,accuracy,0.5375,0.4999609375,0.5734765625,1000
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,accuracy,0.49,0.39,0.59,1000
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,accuracy,0.45,0.36,0.55,1000
qwen3_8b,Qwen3-8B,stress,commonsense,nl,accuracy,0.52,0.42,0.62,1000
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,accuracy,0.57,0.47,0.6602499999999998,1000
qwen3_8b,Qwen3-8B,stress,easy,nl,accuracy,0.51,0.41,0.61,1000
qwen3_8b,Qwen3-8B,stress,easy,nl_formal,accuracy,0.53,0.44,0.63,1000
qwen3_8b,Qwen3-8B,stress,hard,nl,accuracy,0.46,0.36,0.56,1000
qwen3_8b,Qwen3-8B,stress,hard,nl_formal,accuracy,0.46,0.36,0.56,1000
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl,accuracy,0.49,0.4,0.59,1000
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl_formal,accuracy,0.47,0.37,0.57,1000
