model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,n_pairs,n_valid_pairs,strict_ccc,correct_flip_rate,wrong_flip_rate,invariant_yes_rate,invariant_no_rate,scca,signed_ccc,invalid_pair_rate
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,358,358,0.0111731843575419,0.0111731843575419,0.0,0.9888268156424581,0.0,0.0111731843575419,0.0111731843575419,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,358,358,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,358,358,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,358,358,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_query,358,358,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,22,22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,22,22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,25,25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,25,25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,12,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,12,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,17,17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,17,17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,29,29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,29,29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,358,358,0.3770949720670391,0.2569832402234637,0.12011173184357542,0.23743016759776536,0.3854748603351955,0.2569832402234637,0.13687150837988826,0.0
qwen3_4b,Qwen3-4B,main,main,nl,358,358,0.40782122905027934,0.2905027932960894,0.11731843575418995,0.20949720670391062,0.38268156424581007,0.2905027932960894,0.17318435754189948,0.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,358,358,0.40782122905027934,0.28212290502793297,0.12569832402234637,0.19273743016759776,0.3994413407821229,0.28212290502793297,0.1564245810055866,0.0
