model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,metric,estimate,ci_low,ci_high,n_bootstrap
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,strict_ccc,0.0111731843575419,0.0,0.0223463687150838,1000
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,correct_flip,0.0111731843575419,0.002793296089385475,0.0223463687150838,1000
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,wrong_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,scca,0.0111731843575419,0.002793296089385475,0.0223463687150838,1000
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,signed_ccc,0.0111731843575419,0.002793296089385475,0.0223463687150838,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl,strict_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl,correct_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl,wrong_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl,scca,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl,signed_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,strict_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,correct_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,wrong_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,scca,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,signed_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,strict_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,correct_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,wrong_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,scca,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,signed_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_query,strict_ccc,0.0,0.0,0.0,1000
