model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,query_type,n_pairs,n_valid_pairs,strict_ccc,correct_flip_rate,wrong_flip_rate,invariant_yes_rate,invariant_no_rate,scca,signed_ccc,invalid_pair_rate
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,ate,53,53,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,backadj,50,50,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,correlation,98,98,0.04081632653061224,0.04081632653061224,0.0,0.9591836734693877,0.0,0.04081632653061224,0.04081632653061224,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,det-counterfactual,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,ett,19,19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,marginal,63,63,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,nde,45,45,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,nie,29,29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,ate,53,53,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,backadj,50,50,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,correlation,98,98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,det-counterfactual,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,ett,19,19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,marginal,63,63,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,nde,45,45,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,nie,29,29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,ate,53,53,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,backadj,50,50,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,correlation,98,98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,det-counterfactual,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,ett,19,19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,marginal,63,63,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,nde,45,45,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,nie,29,29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,ate,53,53,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,backadj,50,50,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,correlation,98,98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,det-counterfactual,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,ett,19,19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,marginal,63,63,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,nde,45,45,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,nie,29,29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_query,ate,53,53,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_query,backadj,50,50,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_query,correlation,98,98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_query,det-counterfactual,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_query,ett,19,19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_query,marginal,63,63,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_query,nde,45,45,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_query,nie,29,29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,ate,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,collider_bias,5,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,correlation,2,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,exp_away,11,11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,marginal,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,nde,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,nie,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,ate,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,collider_bias,5,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,correlation,2,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
