model,model_display_name,diagnostic_source,dataset_variant,scaffold_mode,scaffold_condition,nl_accuracy,scaffold_accuracy,scaffold_gain
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_query,NL + Variables + Formal Query,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,NL + Variables + Graph,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,Formalized Input,0.5,0.50625,0.006249999999999978
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_4b,Qwen3-4B,main,main,nl_var_query,NL + Variables + Formal Query,0.5953125,0.56875,-0.026562500000000044
qwen3_4b,Qwen3-4B,main,main,nl_var_graph,NL + Variables + Graph,0.5953125,0.5953125,0.0
qwen3_4b,Qwen3-4B,main,main,nl_formal,NL + Formal Scaffold,0.5953125,0.56875,-0.026562500000000044
qwen3_4b,Qwen3-4B,main,main,formula_only,Formalized Input,0.5953125,0.5640625,-0.03125
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,NL + Formal Scaffold,0.47,0.52,0.050000000000000044
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,NL + Formal Scaffold,0.51,0.55,0.040000000000000036
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,NL + Formal Scaffold,0.49,0.48,-0.010000000000000009
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,NL + Formal Scaffold,0.49,0.5,0.010000000000000009
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl_formal,NL + Formal Scaffold,0.48,0.49,0.010000000000000009
qwen3_8b,Qwen3-8B,main,main,nl_var_query,NL + Variables + Formal Query,0.5609375,0.5375,-0.0234375
qwen3_8b,Qwen3-8B,main,main,nl_var_graph,NL + Variables + Graph,0.5609375,0.5609375,0.0
qwen3_8b,Qwen3-8B,main,main,nl_formal,NL + Formal Scaffold,0.5609375,0.5453125,-0.015625
qwen3_8b,Qwen3-8B,main,main,formula_only,Formalized Input,0.5609375,0.553125,-0.0078125
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,NL + Formal Scaffold,0.49,0.45,-0.03999999999999998
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,NL + Formal Scaffold,0.52,0.57,0.04999999999999993
qwen3_8b,Qwen3-8B,stress,easy,nl_formal,NL + Formal Scaffold,0.51,0.53,0.020000000000000018
qwen3_8b,Qwen3-8B,stress,hard,nl_formal,NL + Formal Scaffold,0.46,0.46,0.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl_formal,NL + Formal Scaffold,0.49,0.47,-0.020000000000000018
