model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,n_stories,mean_items_per_story,story_all_correct_rate
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,47,13.617021276595745,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,47,13.617021276595745,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,47,13.617021276595745,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,47,13.617021276595745,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_query,47,13.617021276595745,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,34,2.9411764705882355,0.29411764705882354
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,34,2.9411764705882355,0.29411764705882354
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,34,2.9411764705882355,0.23529411764705882
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,34,2.9411764705882355,0.23529411764705882
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,29,3.4482758620689653,0.20689655172413793
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,29,3.4482758620689653,0.20689655172413793
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,27,3.7037037037037037,0.18518518518518517
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,27,3.7037037037037037,0.18518518518518517
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,10,10.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,10,10.0,0.0
qwen3_4b,Qwen3-4B,main,main,formula_only,47,13.617021276595745,0.02127659574468085
qwen3_4b,Qwen3-4B,main,main,nl,47,13.617021276595745,0.02127659574468085
qwen3_4b,Qwen3-4B,main,main,nl_formal,47,13.617021276595745,0.02127659574468085
qwen3_4b,Qwen3-4B,main,main,nl_var_graph,47,13.617021276595745,0.02127659574468085
qwen3_4b,Qwen3-4B,main,main,nl_var_query,47,13.617021276595745,0.02127659574468085
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,34,2.9411764705882355,0.11764705882352941
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,34,2.9411764705882355,0.23529411764705882
qwen3_4b,Qwen3-4B,stress,commonsense,nl,34,2.9411764705882355,0.17647058823529413
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,34,2.9411764705882355,0.2647058823529412
qwen3_4b,Qwen3-4B,stress,easy,nl,29,3.4482758620689653,0.2413793103448276
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,29,3.4482758620689653,0.27586206896551724
qwen3_4b,Qwen3-4B,stress,hard,nl,27,3.7037037037037037,0.2962962962962963
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,27,3.7037037037037037,0.25925925925925924
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl,10,10.0,0.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl_formal,10,10.0,0.0
qwen3_8b,Qwen3-8B,main,main,formula_only,47,13.617021276595745,0.02127659574468085
qwen3_8b,Qwen3-8B,main,main,nl,47,13.617021276595745,0.0
qwen3_8b,Qwen3-8B,main,main,nl_formal,47,13.617021276595745,0.0
qwen3_8b,Qwen3-8B,main,main,nl_var_graph,47,13.617021276595745,0.0
qwen3_8b,Qwen3-8B,main,main,nl_var_query,47,13.617021276595745,0.02127659574468085
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,34,2.9411764705882355,0.20588235294117646
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,34,2.9411764705882355,0.23529411764705882
qwen3_8b,Qwen3-8B,stress,commonsense,nl,34,2.9411764705882355,0.23529411764705882
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,34,2.9411764705882355,0.3235294117647059
qwen3_8b,Qwen3-8B,stress,easy,nl,29,3.4482758620689653,0.2413793103448276
qwen3_8b,Qwen3-8B,stress,easy,nl_formal,29,3.4482758620689653,0.3448275862068966
qwen3_8b,Qwen3-8B,stress,hard,nl,27,3.7037037037037037,0.2962962962962963
qwen3_8b,Qwen3-8B,stress,hard,nl_formal,27,3.7037037037037037,0.25925925925925924
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl,10,10.0,0.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl_formal,10,10.0,0.0
