model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,metric,estimate,ci_low,ci_high,n_bootstrap
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,accuracy,0.5,0.4,0.59,1000
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,accuracy,0.5,0.4,0.6,1000
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,accuracy,0.5,0.4,0.6,1000
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,accuracy,0.5,0.40975,0.59,1000
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,accuracy,0.5,0.4,0.6,1000
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,accuracy,0.5,0.4,0.59,1000
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,accuracy,0.5,0.39,0.59,1000
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,accuracy,0.5,0.4,0.6,1000
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,accuracy,0.5,0.4,0.59,1000
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,accuracy,0.5,0.4,0.6,1000
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,accuracy,0.47,0.37,0.57,1000
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,accuracy,0.52,0.42,0.6102499999999997,1000
qwen3_4b,Qwen3-4B,stress,commonsense,nl,accuracy,0.51,0.4,0.61,1000
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,accuracy,0.55,0.45,0.65,1000
qwen3_4b,Qwen3-4B,stress,easy,nl,accuracy,0.49,0.39,0.59,1000
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,accuracy,0.48,0.38,0.5702499999999997,1000
qwen3_4b,Qwen3-4B,stress,hard,nl,accuracy,0.49,0.39,0.59,1000
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,accuracy,0.5,0.4,0.6,1000
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl,accuracy,0.48,0.38,0.58,1000
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl_formal,accuracy,0.49,0.39,0.5802499999999997,1000
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,accuracy,0.49,0.4,0.6,1000
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,accuracy,0.45,0.36,0.55,1000
qwen3_8b,Qwen3-8B,stress,commonsense,nl,accuracy,0.52,0.42,0.62,1000
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,accuracy,0.57,0.47,0.67,1000
qwen3_8b,Qwen3-8B,stress,easy,nl,accuracy,0.51,0.41,0.6,1000
qwen3_8b,Qwen3-8B,stress,easy,nl_formal,accuracy,0.53,0.44,0.63,1000
qwen3_8b,Qwen3-8B,stress,hard,nl,accuracy,0.46,0.36,0.55,1000
qwen3_8b,Qwen3-8B,stress,hard,nl_formal,accuracy,0.46,0.36,0.55,1000
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl,accuracy,0.49,0.39,0.59,1000
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl_formal,accuracy,0.47,0.37,0.57,1000
