model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,metric,estimate,ci_low,ci_high,n_bootstrap
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,strict_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,correct_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,wrong_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,scca,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,signed_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,strict_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,correct_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,wrong_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,scca,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,signed_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,strict_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,correct_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,wrong_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,scca,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,signed_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,strict_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,correct_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,wrong_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,scca,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,signed_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,strict_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,correct_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,wrong_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,scca,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,signed_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,strict_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,correct_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,wrong_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,scca,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,signed_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,strict_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,correct_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,wrong_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,scca,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,signed_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,strict_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,correct_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,wrong_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,scca,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,signed_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,strict_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,correct_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,wrong_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,scca,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,signed_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,strict_ccc,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,correct_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,wrong_flip,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,scca,0.0,0.0,0.0,1000
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,signed_ccc,0.0,0.0,0.0,1000
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,strict_ccc,0.0,0.0,0.0,1000
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,correct_flip,0.0,0.0,0.0,1000
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,wrong_flip,0.0,0.0,0.0,1000
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,scca,0.0,0.0,0.0,1000
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,signed_ccc,0.0,0.0,0.0,1000
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,strict_ccc,0.13636363636363635,0.0,0.2727272727272727,1000
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,correct_flip,0.13636363636363635,0.0,0.2727272727272727,1000
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,wrong_flip,0.0,0.0,0.0,1000
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,scca,0.13636363636363635,0.0,0.3181818181818182,1000
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,signed_ccc,0.13636363636363635,0.0,0.2727272727272727,1000
qwen3_4b,Qwen3-4B,stress,commonsense,nl,strict_ccc,0.04,0.0,0.12,1000
qwen3_4b,Qwen3-4B,stress,commonsense,nl,correct_flip,0.0,0.0,0.0,1000
qwen3_4b,Qwen3-4B,stress,commonsense,nl,wrong_flip,0.04,0.0,0.12,1000
qwen3_4b,Qwen3-4B,stress,commonsense,nl,scca,0.0,0.0,0.0,1000
qwen3_4b,Qwen3-4B,stress,commonsense,nl,signed_ccc,-0.04,-0.12,0.0,1000
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,strict_ccc,0.12,0.0,0.24,1000
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,correct_flip,0.04,0.0,0.12,1000
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,wrong_flip,0.08,0.0,0.2,1000
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,scca,0.04,0.0,0.12,1000
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,signed_ccc,-0.04,-0.2,0.08,1000
qwen3_4b,Qwen3-4B,stress,easy,nl,strict_ccc,0.08333333333333333,0.0,0.25,1000
qwen3_4b,Qwen3-4B,stress,easy,nl,correct_flip,0.08333333333333333,0.0,0.25,1000
qwen3_4b,Qwen3-4B,stress,easy,nl,wrong_flip,0.0,0.0,0.0,1000
qwen3_4b,Qwen3-4B,stress,easy,nl,scca,0.08333333333333333,0.0,0.25,1000
qwen3_4b,Qwen3-4B,stress,easy,nl,signed_ccc,0.08333333333333333,0.0,0.25,1000
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,strict_ccc,0.25,0.0,0.5,1000
