model,dataset_variant,prompt_mode,parsed_label,n
qwen3_0_6b,anticommonsense,nl,yes,100
qwen3_0_6b,anticommonsense,nl_formal,yes,100
qwen3_0_6b,commonsense,nl,yes,100
qwen3_0_6b,commonsense,nl_formal,yes,100
qwen3_0_6b,easy,nl,yes,100
qwen3_0_6b,easy,nl_formal,yes,100
qwen3_0_6b,hard,nl,yes,100
qwen3_0_6b,hard,nl_formal,yes,100
qwen3_0_6b,noncommonsense,nl,yes,100
qwen3_0_6b,noncommonsense,nl_formal,yes,100
qwen3_4b,anticommonsense,nl,no,91
qwen3_4b,anticommonsense,nl,yes,9
qwen3_4b,anticommonsense,nl_formal,no,84
qwen3_4b,anticommonsense,nl_formal,yes,16
qwen3_4b,commonsense,nl,no,85
qwen3_4b,commonsense,nl,yes,15
qwen3_4b,commonsense,nl_formal,no,85
qwen3_4b,commonsense,nl_formal,yes,15
qwen3_4b,easy,nl,no,89
qwen3_4b,easy,nl,yes,11
qwen3_4b,easy,nl_formal,no,82
qwen3_4b,easy,nl_formal,yes,18
qwen3_4b,hard,nl,no,91
qwen3_4b,hard,nl,yes,9
qwen3_4b,hard,nl_formal,no,90
qwen3_4b,hard,nl_formal,yes,10
qwen3_4b,noncommonsense,nl,no,88
qwen3_4b,noncommonsense,nl,yes,12
qwen3_4b,noncommonsense,nl_formal,no,93
qwen3_4b,noncommonsense,nl_formal,yes,7
qwen3_8b,anticommonsense,nl,no,51
qwen3_8b,anticommonsense,nl,yes,49
qwen3_8b,anticommonsense,nl_formal,no,65
qwen3_8b,anticommonsense,nl_formal,yes,35
qwen3_8b,commonsense,nl,no,48
qwen3_8b,commonsense,nl,yes,52
qwen3_8b,commonsense,nl_formal,no,57
qwen3_8b,commonsense,nl_formal,yes,43
qwen3_8b,easy,nl,no,59
qwen3_8b,easy,nl,yes,41
qwen3_8b,easy,nl_formal,no,63
qwen3_8b,easy,nl_formal,yes,37
qwen3_8b,hard,nl,no,62
qwen3_8b,hard,nl,yes,38
qwen3_8b,hard,nl_formal,no,64
qwen3_8b,hard,nl_formal,yes,36
qwen3_8b,noncommonsense,nl,no,69
qwen3_8b,noncommonsense,nl,yes,31
qwen3_8b,noncommonsense,nl_formal,no,71
qwen3_8b,noncommonsense,nl_formal,yes,29
