model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,prompt_condition,n,accuracy,parse_rate,invalid_rate,latency_sec
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,Natural Language,100,0.5,1.0,0.0,0.014800305426178932
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,NL + Formal Scaffold,100,0.5,1.0,0.0,0.010816679805866387
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,Natural Language,100,0.5,1.0,0.0,0.011805998506315484
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,NL + Formal Scaffold,100,0.5,1.0,0.0,0.011002393931848868
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,Natural Language,100,0.5,1.0,0.0,0.011248573666380199
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,NL + Formal Scaffold,100,0.5,1.0,0.0,0.011210046490014025
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,Natural Language,100,0.5,1.0,0.0,0.010980538332078104
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,NL + Formal Scaffold,100,0.5,1.0,0.0,0.010916855426330545
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,Natural Language,100,0.5,1.0,0.0,0.011836109630530636
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,NL + Formal Scaffold,100,0.5,1.0,0.0,0.012030755799496494
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,Natural Language,100,0.47,1.0,0.0,0.03299746750388289
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,NL + Formal Scaffold,100,0.52,1.0,0.0,0.03399258290126449
qwen3_4b,Qwen3-4B,stress,commonsense,nl,Natural Language,100,0.51,1.0,0.0,0.028680135523900342
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,NL + Formal Scaffold,100,0.55,1.0,0.0,0.03432060349790841
qwen3_4b,Qwen3-4B,stress,easy,nl,Natural Language,100,0.49,1.0,0.0,0.028195271321455904
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,NL + Formal Scaffold,100,0.48,1.0,0.0,0.033989982709754216
qwen3_4b,Qwen3-4B,stress,hard,nl,Natural Language,100,0.49,1.0,0.0,0.028667295290506392
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,NL + Formal Scaffold,100,0.5,1.0,0.0,0.03421289871097538
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl,Natural Language,100,0.48,1.0,0.0,0.02944269493804309
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl_formal,NL + Formal Scaffold,100,0.49,1.0,0.0,0.034278210211778015
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,Natural Language,100,0.49,1.0,0.0,0.05665962834842499
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,NL + Formal Scaffold,100,0.45,1.0,0.0,0.061072266201954294
qwen3_8b,Qwen3-8B,stress,commonsense,nl,Natural Language,100,0.52,1.0,0.0,0.05191938143689181
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,NL + Formal Scaffold,100,0.57,1.0,0.0,0.06070177951129149
qwen3_8b,Qwen3-8B,stress,easy,nl,Natural Language,100,0.51,1.0,0.0,0.05260622399160634
qwen3_8b,Qwen3-8B,stress,easy,nl_formal,NL + Formal Scaffold,100,0.53,1.0,0.0,0.06243136507808225
qwen3_8b,Qwen3-8B,stress,hard,nl,Natural Language,100,0.46,1.0,0.0,0.052884806310757954
qwen3_8b,Qwen3-8B,stress,hard,nl_formal,NL + Formal Scaffold,100,0.46,1.0,0.0,0.06214776069973591
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl,Natural Language,100,0.49,1.0,0.0,0.05287354066153052
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl_formal,NL + Formal Scaffold,100,0.47,1.0,0.0,0.06230702226748686
