model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,query_type,n_pairs,n_valid_pairs,strict_ccc,correct_flip_rate,wrong_flip_rate,invariant_yes_rate,invariant_no_rate,scca,signed_ccc,invalid_pair_rate
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,nl_binary_score,ate,390,390,0.5923076923076923,0.541025641025641,0.05128205128205128,0.2846153846153846,0.12307692307692308,0.541025641025641,0.4897435897435897,0.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,nl_binary_score,backadj,395,395,0.17468354430379746,0.17468354430379746,0.0,0.0,0.8253164556962025,0.17468354430379746,0.17468354430379746,0.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,nl_binary_score,correlation,406,406,0.5615763546798029,0.3103448275862069,0.2512315270935961,0.21182266009852216,0.22660098522167488,0.3103448275862069,0.05911330049261082,0.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,nl_binary_score,det-counterfactual,39,39,0.20512820512820512,0.1794871794871795,0.02564102564102564,0.02564102564102564,0.7692307692307693,0.1794871794871795,0.15384615384615385,0.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,nl_binary_score,ett,464,464,0.33189655172413796,0.16810344827586207,0.16379310344827586,0.09267241379310345,0.5754310344827587,0.16810344827586207,0.0043103448275862155,0.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,nl_binary_score,marginal,413,413,0.4358353510895884,0.2639225181598063,0.17191283292978207,0.1016949152542373,0.46246973365617433,0.2639225181598063,0.0920096852300242,0.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,nl_binary_score,nde,876,876,0.3287671232876712,0.2557077625570776,0.0730593607305936,0.2785388127853881,0.3926940639269406,0.2557077625570776,0.182648401826484,0.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,nl_binary_score,nie,410,410,0.375609756097561,0.2780487804878049,0.0975609756097561,0.5365853658536586,0.08780487804878048,0.2780487804878049,0.1804878048780488,0.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_matched_binary_score,ate,390,390,0.6743589743589744,0.6512820512820513,0.023076923076923078,0.10256410256410256,0.2230769230769231,0.6512820512820513,0.6282051282051282,0.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_matched_binary_score,backadj,395,395,0.31645569620253167,0.2911392405063291,0.02531645569620253,0.012658227848101266,0.6708860759493671,0.2911392405063291,0.26582278481012656,0.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_matched_binary_score,correlation,406,406,0.5320197044334976,0.3078817733990148,0.22413793103448276,0.15517241379310345,0.312807881773399,0.3078817733990148,0.08374384236453203,0.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_matched_binary_score,det-counterfactual,39,39,0.38461538461538464,0.1282051282051282,0.2564102564102564,0.15384615384615385,0.46153846153846156,0.1282051282051282,-0.1282051282051282,0.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_matched_binary_score,ett,464,464,0.3620689655172414,0.15732758620689655,0.20474137931034483,0.09913793103448276,0.5387931034482759,0.15732758620689655,-0.04741379310344829,0.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_matched_binary_score,marginal,413,413,0.48184019370460046,0.3099273607748184,0.17191283292978207,0.11380145278450363,0.4043583535108959,0.3099273607748184,0.13801452784503634,0.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_matched_binary_score,nde,876,876,0.4531963470319635,0.2614155251141553,0.1917808219178082,0.1815068493150685,0.365296803652968,0.2614155251141553,0.06963470319634707,0.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_matched_binary_score,nie,410,410,0.7,0.4878048780487805,0.2121951219512195,0.18536585365853658,0.11463414634146342,0.4878048780487805,0.275609756097561,0.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_shuffled_binary_score,ate,390,390,0.5487179487179488,0.48205128205128206,0.06666666666666667,0.13076923076923078,0.32051282051282054,0.48205128205128206,0.4153846153846154,0.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_shuffled_binary_score,backadj,395,395,0.34177215189873417,0.26329113924050634,0.07848101265822785,0.04810126582278481,0.610126582278481,0.26329113924050634,0.1848101265822785,0.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_shuffled_binary_score,correlation,406,406,0.49507389162561577,0.2536945812807882,0.2413793103448276,0.11822660098522167,0.3866995073891626,0.2536945812807882,0.012315270935960604,0.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_shuffled_binary_score,det-counterfactual,39,39,0.4358974358974359,0.20512820512820512,0.23076923076923078,0.07692307692307693,0.48717948717948717,0.20512820512820512,-0.02564102564102566,0.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_shuffled_binary_score,ett,464,464,0.23275862068965517,0.04525862068965517,0.1875,0.02586206896551724,0.7413793103448276,0.04525862068965517,-0.14224137931034483,0.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_shuffled_binary_score,marginal,413,413,0.22518159806295399,0.14043583535108958,0.0847457627118644,0.012106537530266344,0.7627118644067796,0.14043583535108958,0.05569007263922518,0.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_shuffled_binary_score,nde,876,876,0.3116438356164384,0.1906392694063927,0.12100456621004566,0.12442922374429223,0.5639269406392694,0.1906392694063927,0.06963470319634704,0.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_shuffled_binary_score,nie,410,410,0.526829268292683,0.3073170731707317,0.21951219512195122,0.14634146341463414,0.32682926829268294,0.3073170731707317,0.08780487804878048,0.0
qwen3_8b,Qwen3-8B,symbolic_control,symbolic_control,nl_binary_score,ate,390,390,0.6923076923076923,0.6564102564102564,0.035897435897435895,0.24358974358974358,0.0641025641025641,0.6564102564102564,0.6205128205128205,0.0
qwen3_8b,Qwen3-8B,symbolic_control,symbolic_control,nl_binary_score,backadj,395,395,0.6962025316455697,0.3240506329113924,0.3721518987341772,0.09873417721518987,0.20506329113924052,0.3240506329113924,-0.04810126582278479,0.0
qwen3_8b,Qwen3-8B,symbolic_control,symbolic_control,nl_binary_score,correlation,406,406,0.39408866995073893,0.19458128078817735,0.19950738916256158,0.5394088669950738,0.0665024630541872,0.19458128078817735,-0.0049261083743842304,0.0
qwen3_8b,Qwen3-8B,symbolic_control,symbolic_control,nl_binary_score,det-counterfactual,39,39,0.3076923076923077,0.1794871794871795,0.1282051282051282,0.10256410256410256,0.5897435897435898,0.1794871794871795,0.051282051282051294,0.0
qwen3_8b,Qwen3-8B,symbolic_control,symbolic_control,nl_binary_score,ett,464,464,0.3771551724137931,0.10775862068965517,0.26939655172413796,0.20905172413793102,0.41379310344827586,0.10775862068965517,-0.1616379310344828,0.0
qwen3_8b,Qwen3-8B,symbolic_control,symbolic_control,nl_binary_score,marginal,413,413,0.4019370460048426,0.26150121065375304,0.14043583535108958,0.45278450363196127,0.14527845036319612,0.26150121065375304,0.12106537530266345,0.0
qwen3_8b,Qwen3-8B,symbolic_control,symbolic_control,nl_binary_score,nde,876,876,0.3732876712328767,0.3447488584474886,0.028538812785388126,0.06735159817351598,0.5593607305936074,0.3447488584474886,0.3162100456621005,0.0
