model,model_display_name,query_type,condition_a,condition_b,n,acc_a,acc_b,paired_accuracy_diff,ci_low,ci_high,p_diff_le_0,prediction_change_rate,a_correct_b_wrong_rate,a_wrong_b_correct_rate
qwen3_4b,Qwen3-4B,ate,symbolic_matched_binary_score,nl_binary_score,256,0.8203125,0.7578125,0.0625,0.00390625,0.1250976562499999,0.023,0.2421875,0.15234375,0.08984375
qwen3_4b,Qwen3-4B,ate,symbolic_matched_binary_score,symbolic_shuffled_binary_score,256,0.8203125,0.69921875,0.12109375,0.05859375,0.1875,0.0,0.30078125,0.2109375,0.08984375
qwen3_4b,Qwen3-4B,ate,symbolic_shuffled_binary_score,nl_binary_score,256,0.69921875,0.7578125,-0.05859375,-0.1171875,0.0078125,0.967,0.26171875,0.1015625,0.16015625
qwen3_4b,Qwen3-4B,backadj,symbolic_matched_binary_score,nl_binary_score,256,0.6015625,0.55859375,0.04296875,0.0078125,0.08203125,0.01,0.08203125,0.0625,0.01953125
qwen3_4b,Qwen3-4B,backadj,symbolic_matched_binary_score,symbolic_shuffled_binary_score,256,0.6015625,0.57421875,0.02734375,-0.0078125,0.06640625,0.087,0.08984375,0.05859375,0.03125
qwen3_4b,Qwen3-4B,backadj,symbolic_shuffled_binary_score,nl_binary_score,256,0.57421875,0.55859375,0.015625,-0.02734375,0.0625,0.253,0.125,0.0703125,0.0546875
qwen3_4b,Qwen3-4B,correlation,symbolic_matched_binary_score,nl_binary_score,256,0.54296875,0.55078125,-0.0078125,-0.05859375,0.0390625,0.645,0.1640625,0.078125,0.0859375
qwen3_4b,Qwen3-4B,correlation,symbolic_matched_binary_score,symbolic_shuffled_binary_score,256,0.54296875,0.5234375,0.01953125,-0.0234375,0.0625,0.228,0.12890625,0.07421875,0.0546875
qwen3_4b,Qwen3-4B,correlation,symbolic_shuffled_binary_score,nl_binary_score,256,0.5234375,0.55078125,-0.02734375,-0.0703125,0.01572265624999991,0.909,0.12890625,0.05078125,0.078125
qwen3_4b,Qwen3-4B,det-counterfactual,symbolic_matched_binary_score,nl_binary_score,256,0.59765625,0.6015625,-0.00390625,-0.05859375,0.05078125,0.592,0.19140625,0.09375,0.09765625
qwen3_4b,Qwen3-4B,det-counterfactual,symbolic_matched_binary_score,symbolic_shuffled_binary_score,256,0.59765625,0.56640625,0.03125,-0.011816406249999994,0.078125,0.104,0.140625,0.0859375,0.0546875
qwen3_4b,Qwen3-4B,det-counterfactual,symbolic_shuffled_binary_score,nl_binary_score,256,0.56640625,0.6015625,-0.03515625,-0.0859375,0.01572265624999991,0.922,0.16796875,0.06640625,0.1015625
qwen3_4b,Qwen3-4B,ett,symbolic_matched_binary_score,nl_binary_score,256,0.453125,0.45703125,-0.00390625,-0.0625,0.05869140624999991,0.602,0.26171875,0.12890625,0.1328125
qwen3_4b,Qwen3-4B,ett,symbolic_matched_binary_score,symbolic_shuffled_binary_score,256,0.453125,0.40234375,0.05078125,-0.0078125,0.11337890624999991,0.056,0.26171875,0.15625,0.10546875
qwen3_4b,Qwen3-4B,ett,symbolic_shuffled_binary_score,nl_binary_score,256,0.40234375,0.45703125,-0.0546875,-0.10947265625,0.0,0.978,0.1953125,0.0703125,0.125
qwen3_4b,Qwen3-4B,marginal,symbolic_matched_binary_score,nl_binary_score,256,0.50390625,0.51953125,-0.015625,-0.06650390625,0.03515625,0.749,0.1796875,0.08203125,0.09765625
qwen3_4b,Qwen3-4B,marginal,symbolic_matched_binary_score,symbolic_shuffled_binary_score,256,0.50390625,0.5,0.00390625,-0.0625,0.0703125,0.48,0.26171875,0.1328125,0.12890625
qwen3_4b,Qwen3-4B,marginal,symbolic_shuffled_binary_score,nl_binary_score,256,0.5,0.51953125,-0.01953125,-0.078125,0.0390625,0.737,0.25390625,0.1171875,0.13671875
qwen3_4b,Qwen3-4B,nde,symbolic_matched_binary_score,nl_binary_score,256,0.546875,0.6171875,-0.0703125,-0.125,-0.015625,0.994,0.2109375,0.0703125,0.140625
qwen3_4b,Qwen3-4B,nde,symbolic_matched_binary_score,symbolic_shuffled_binary_score,256,0.546875,0.546875,0.0,-0.0546875,0.05078125,0.53,0.171875,0.0859375,0.0859375
qwen3_4b,Qwen3-4B,nde,symbolic_shuffled_binary_score,nl_binary_score,256,0.546875,0.6171875,-0.0703125,-0.125,-0.015625,0.996,0.1875,0.05859375,0.12890625
qwen3_4b,Qwen3-4B,nie,symbolic_matched_binary_score,nl_binary_score,256,0.6171875,0.6015625,0.015625,-0.05078125,0.08212890624999991,0.329,0.2578125,0.13671875,0.12109375
qwen3_4b,Qwen3-4B,nie,symbolic_matched_binary_score,symbolic_shuffled_binary_score,256,0.6171875,0.53125,0.0859375,0.02734375,0.14453125,0.003,0.234375,0.16015625,0.07421875
qwen3_4b,Qwen3-4B,nie,symbolic_shuffled_binary_score,nl_binary_score,256,0.53125,0.6015625,-0.0703125,-0.13671875,-0.003808593750000089,0.982,0.3515625,0.140625,0.2109375
qwen3_8b,Qwen3-8B,ate,symbolic_matched_binary_score,nl_binary_score,256,0.8359375,0.796875,0.0390625,-0.01171875,0.09375,0.076,0.1796875,0.109375,0.0703125
qwen3_8b,Qwen3-8B,ate,symbolic_matched_binary_score,symbolic_shuffled_binary_score,256,0.8359375,0.7109375,0.125,0.05859375,0.19140625,0.0,0.3125,0.21875,0.09375
qwen3_8b,Qwen3-8B,ate,symbolic_shuffled_binary_score,nl_binary_score,256,0.7109375,0.796875,-0.0859375,-0.15234375,-0.01943359375000009,0.995,0.3203125,0.1171875,0.203125
qwen3_8b,Qwen3-8B,backadj,symbolic_matched_binary_score,nl_binary_score,256,0.45703125,0.44921875,0.0078125,-0.01953125,0.03515625,0.377,0.046875,0.02734375,0.01953125
qwen3_8b,Qwen3-8B,backadj,symbolic_matched_binary_score,symbolic_shuffled_binary_score,256,0.45703125,0.44140625,0.015625,-0.01171875,0.046875,0.172,0.0546875,0.03515625,0.01953125
qwen3_8b,Qwen3-8B,backadj,symbolic_shuffled_binary_score,nl_binary_score,256,0.44140625,0.44921875,-0.0078125,-0.03125,0.015625,0.792,0.0390625,0.015625,0.0234375
qwen3_8b,Qwen3-8B,correlation,symbolic_matched_binary_score,nl_binary_score,256,0.5,0.51953125,-0.01953125,-0.0703125,0.02734375,0.797,0.17578125,0.078125,0.09765625
qwen3_8b,Qwen3-8B,correlation,symbolic_matched_binary_score,symbolic_shuffled_binary_score,256,0.5,0.48046875,0.01953125,-0.046875,0.0859375,0.305,0.32421875,0.171875,0.15234375
qwen3_8b,Qwen3-8B,correlation,symbolic_shuffled_binary_score,nl_binary_score,256,0.48046875,0.51953125,-0.0390625,-0.09765625,0.01953125,0.91,0.234375,0.09765625,0.13671875
qwen3_8b,Qwen3-8B,det-counterfactual,symbolic_matched_binary_score,nl_binary_score,256,0.58984375,0.5703125,0.01953125,-0.02734375,0.0625,0.205,0.12109375,0.0703125,0.05078125
qwen3_8b,Qwen3-8B,det-counterfactual,symbolic_matched_binary_score,symbolic_shuffled_binary_score,256,0.58984375,0.56640625,0.0234375,-0.02734375,0.078125,0.222,0.1875,0.10546875,0.08203125
qwen3_8b,Qwen3-8B,det-counterfactual,symbolic_shuffled_binary_score,nl_binary_score,256,0.56640625,0.5703125,-0.00390625,-0.0546875,0.05078125,0.569,0.18359375,0.08984375,0.09375
qwen3_8b,Qwen3-8B,ett,symbolic_matched_binary_score,nl_binary_score,256,0.3046875,0.3984375,-0.09375,-0.14453125,-0.04296875,1.0,0.1796875,0.04296875,0.13671875
qwen3_8b,Qwen3-8B,ett,symbolic_matched_binary_score,symbolic_shuffled_binary_score,256,0.3046875,0.44140625,-0.13671875,-0.19140625,-0.08203125,1.0,0.21484375,0.0390625,0.17578125
qwen3_8b,Qwen3-8B,ett,symbolic_shuffled_binary_score,nl_binary_score,256,0.44140625,0.3984375,0.04296875,-0.0234375,0.109375,0.11,0.26171875,0.15234375,0.109375
qwen3_8b,Qwen3-8B,marginal,symbolic_matched_binary_score,nl_binary_score,256,0.53125,0.51171875,0.01953125,-0.03125,0.0703125,0.264,0.18359375,0.1015625,0.08203125
qwen3_8b,Qwen3-8B,marginal,symbolic_matched_binary_score,symbolic_shuffled_binary_score,256,0.53125,0.5,0.03125,-0.0546875,0.12109375,0.251,0.4921875,0.26171875,0.23046875
