model,model_display_name,rung,condition_a,condition_b,n,acc_a,acc_b,paired_accuracy_diff,ci_low,ci_high,p_diff_le_0,prediction_change_rate,a_correct_b_wrong_rate,a_wrong_b_correct_rate
qwen3_4b,Qwen3-4B,1,symbolic_matched_binary_score,nl_binary_score,512,0.5234375,0.53515625,-0.01171875,-0.048828125,0.025390625,0.746,0.171875,0.080078125,0.091796875
qwen3_4b,Qwen3-4B,1,symbolic_matched_binary_score,symbolic_shuffled_binary_score,512,0.5234375,0.51171875,0.01171875,-0.023486328124999997,0.052734375,0.289,0.1953125,0.103515625,0.091796875
qwen3_4b,Qwen3-4B,1,symbolic_shuffled_binary_score,nl_binary_score,512,0.51171875,0.53515625,-0.0234375,-0.0625,0.013671875,0.903,0.19140625,0.083984375,0.107421875
qwen3_4b,Qwen3-4B,2,symbolic_matched_binary_score,nl_binary_score,512,0.7109375,0.658203125,0.052734375,0.015625,0.087890625,0.005,0.162109375,0.107421875,0.0546875
qwen3_4b,Qwen3-4B,2,symbolic_matched_binary_score,symbolic_shuffled_binary_score,512,0.7109375,0.63671875,0.07421875,0.037109375,0.109375,0.0,0.1953125,0.134765625,0.060546875
qwen3_4b,Qwen3-4B,2,symbolic_shuffled_binary_score,nl_binary_score,512,0.63671875,0.658203125,-0.021484375,-0.060546875,0.015625,0.886,0.193359375,0.0859375,0.107421875
qwen3_4b,Qwen3-4B,3,symbolic_matched_binary_score,nl_binary_score,1024,0.5537109375,0.5693359375,-0.015625,-0.0458984375,0.0126953125,0.86,0.23046875,0.107421875,0.123046875
qwen3_4b,Qwen3-4B,3,symbolic_matched_binary_score,symbolic_shuffled_binary_score,1024,0.5537109375,0.51171875,0.0419921875,0.015600585937500001,0.0693359375,0.001,0.2021484375,0.1220703125,0.080078125
qwen3_4b,Qwen3-4B,3,symbolic_shuffled_binary_score,nl_binary_score,1024,0.51171875,0.5693359375,-0.0576171875,-0.087890625,-0.0302734375,1.0,0.2255859375,0.083984375,0.1416015625
qwen3_8b,Qwen3-8B,1,symbolic_matched_binary_score,nl_binary_score,512,0.515625,0.515625,0.0,-0.037158203125,0.037109375,0.53,0.1796875,0.08984375,0.08984375
qwen3_8b,Qwen3-8B,1,symbolic_matched_binary_score,symbolic_shuffled_binary_score,512,0.515625,0.490234375,0.025390625,-0.031298828125,0.078125,0.188,0.408203125,0.216796875,0.19140625
qwen3_8b,Qwen3-8B,1,symbolic_shuffled_binary_score,nl_binary_score,512,0.490234375,0.515625,-0.025390625,-0.07421875,0.03125,0.847,0.337890625,0.15625,0.181640625
qwen3_8b,Qwen3-8B,2,symbolic_matched_binary_score,nl_binary_score,512,0.646484375,0.623046875,0.0234375,-0.00390625,0.052734375,0.056,0.11328125,0.068359375,0.044921875
qwen3_8b,Qwen3-8B,2,symbolic_matched_binary_score,symbolic_shuffled_binary_score,512,0.646484375,0.576171875,0.0703125,0.035107421875,0.107421875,0.0,0.18359375,0.126953125,0.056640625
qwen3_8b,Qwen3-8B,2,symbolic_shuffled_binary_score,nl_binary_score,512,0.576171875,0.623046875,-0.046875,-0.083984375,-0.013671875,0.997,0.1796875,0.06640625,0.11328125
qwen3_8b,Qwen3-8B,3,symbolic_matched_binary_score,nl_binary_score,1024,0.54296875,0.548828125,-0.005859375,-0.03125,0.019555664062499978,0.71,0.173828125,0.083984375,0.08984375
qwen3_8b,Qwen3-8B,3,symbolic_matched_binary_score,symbolic_shuffled_binary_score,1024,0.54296875,0.533203125,0.009765625,-0.0234619140625,0.04296875,0.297,0.291015625,0.150390625,0.140625
qwen3_8b,Qwen3-8B,3,symbolic_shuffled_binary_score,nl_binary_score,1024,0.533203125,0.548828125,-0.015625,-0.0468994140625,0.0146484375,0.856,0.26171875,0.123046875,0.138671875
