model,model_display_name,query_type,nl_accuracy,nl_formal_accuracy,symbolic_solver_accuracy,gain_vs_nl,gain_vs_nl_formal
qwen3_0_6b,Qwen3-0.6B,ate,0.5,0.5,0.5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,backadj,0.5,0.5,0.5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,correlation,0.5,0.5,0.5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,det-counterfactual,0.5,0.5,0.48333333333333334,-0.016666666666666663,-0.016666666666666663
qwen3_0_6b,Qwen3-0.6B,ett,0.5,0.5,0.5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,marginal,0.5,0.5,0.5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,nde,0.5,0.5,0.5,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,nie,0.5,0.5,0.4666666666666667,-0.033333333333333326,-0.033333333333333326
qwen3_4b,Qwen3-4B,ate,0.74,0.73,0.76,0.020000000000000018,0.030000000000000027
qwen3_4b,Qwen3-4B,backadj,0.52,0.52,0.56,0.040000000000000036,0.040000000000000036
qwen3_4b,Qwen3-4B,correlation,0.65,0.56,0.6,-0.050000000000000044,0.039999999999999925
qwen3_4b,Qwen3-4B,det-counterfactual,0.5833333333333334,0.5666666666666667,0.5333333333333333,-0.050000000000000044,-0.033333333333333326
qwen3_4b,Qwen3-4B,ett,0.4666666666666667,0.4,0.36666666666666664,-0.10000000000000003,-0.03333333333333338
qwen3_4b,Qwen3-4B,marginal,0.53,0.57,0.53,0.0,-0.039999999999999925
qwen3_4b,Qwen3-4B,nde,0.6166666666666667,0.6166666666666667,0.5166666666666667,-0.09999999999999998,-0.09999999999999998
qwen3_4b,Qwen3-4B,nie,0.6166666666666667,0.5166666666666667,0.55,-0.06666666666666665,0.033333333333333326
qwen3_8b,Qwen3-8B,ate,0.76,0.71,0.82,0.05999999999999994,0.10999999999999999
qwen3_8b,Qwen3-8B,backadj,0.44,0.45,0.46,0.020000000000000018,0.010000000000000009
qwen3_8b,Qwen3-8B,correlation,0.55,0.55,0.5,-0.050000000000000044,-0.050000000000000044
qwen3_8b,Qwen3-8B,det-counterfactual,0.5333333333333333,0.5,0.5833333333333334,0.050000000000000044,0.08333333333333337
qwen3_8b,Qwen3-8B,ett,0.45,0.43333333333333335,0.3333333333333333,-0.1166666666666667,-0.10000000000000003
qwen3_8b,Qwen3-8B,marginal,0.53,0.56,0.5,-0.030000000000000027,-0.06000000000000005
qwen3_8b,Qwen3-8B,nde,0.6333333333333333,0.55,0.6833333333333333,0.050000000000000044,0.1333333333333333
qwen3_8b,Qwen3-8B,nie,0.5666666666666667,0.55,0.7,0.1333333333333333,0.1499999999999999
