model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,query_type,n,accuracy,parse_rate
qwen3_0_6b,Qwen3-0.6B,main,main,nl_binary_score,ate,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_binary_score,backadj,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_binary_score,correlation,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_binary_score,det-counterfactual,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_binary_score,ett,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_binary_score,marginal,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_binary_score,nde,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_binary_score,nie,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal_binary_score,ate,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal_binary_score,backadj,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal_binary_score,correlation,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal_binary_score,det-counterfactual,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal_binary_score,ett,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal_binary_score,marginal,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal_binary_score,nde,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal_binary_score,nie,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,symbolic_solver_concise_binary_score,ate,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,symbolic_solver_concise_binary_score,backadj,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,symbolic_solver_concise_binary_score,correlation,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,symbolic_solver_concise_binary_score,det-counterfactual,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,symbolic_solver_concise_binary_score,ett,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,symbolic_solver_concise_binary_score,marginal,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,symbolic_solver_concise_binary_score,nde,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,symbolic_solver_concise_binary_score,nie,60,0.5,1.0
