model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,query_type,n,accuracy,parse_rate
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,ate,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,backadj,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,correlation,100,0.53,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,det-counterfactual,60,0.5166666666666667,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,ett,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,marginal,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,nde,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,formula_only,nie,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,ate,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,backadj,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,correlation,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,det-counterfactual,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,ett,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,marginal,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,nde,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl,nie,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,ate,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,backadj,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,correlation,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,det-counterfactual,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,ett,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,marginal,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,nde,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,nie,60,0.5,1.0
