model,model_display_name,diagnostic_source,dataset_variant,query_type,transition_pattern,n,total,rate
qwen3_0_6b,Qwen3-0.6B,main,main,ate,C-C-C,50,100,0.5
qwen3_0_6b,Qwen3-0.6B,main,main,ate,W-W-W,50,100,0.5
qwen3_0_6b,Qwen3-0.6B,main,main,backadj,C-C-C,50,100,0.5
qwen3_0_6b,Qwen3-0.6B,main,main,backadj,W-W-W,50,100,0.5
qwen3_0_6b,Qwen3-0.6B,main,main,correlation,C-C-C,50,100,0.5
qwen3_0_6b,Qwen3-0.6B,main,main,correlation,W-W-C,3,100,0.03
qwen3_0_6b,Qwen3-0.6B,main,main,correlation,W-W-W,47,100,0.47
qwen3_0_6b,Qwen3-0.6B,main,main,det-counterfactual,C-C-C,30,60,0.5
qwen3_0_6b,Qwen3-0.6B,main,main,det-counterfactual,W-W-C,1,60,0.016666666666666666
qwen3_0_6b,Qwen3-0.6B,main,main,det-counterfactual,W-W-W,29,60,0.48333333333333334
qwen3_0_6b,Qwen3-0.6B,main,main,ett,C-C-C,30,60,0.5
qwen3_0_6b,Qwen3-0.6B,main,main,ett,W-W-W,30,60,0.5
qwen3_0_6b,Qwen3-0.6B,main,main,marginal,C-C-C,50,100,0.5
qwen3_0_6b,Qwen3-0.6B,main,main,marginal,W-W-W,50,100,0.5
qwen3_0_6b,Qwen3-0.6B,main,main,nde,C-C-C,30,60,0.5
qwen3_0_6b,Qwen3-0.6B,main,main,nde,W-W-W,30,60,0.5
qwen3_0_6b,Qwen3-0.6B,main,main,nie,C-C-C,30,60,0.5
qwen3_0_6b,Qwen3-0.6B,main,main,nie,W-W-W,30,60,0.5
