model,model_display_name,diagnostic_source,dataset_variant,query_type,scaffold_mode,scaffold_condition,nl_accuracy,scaffold_accuracy,scaffold_gain
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,ate,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,backadj,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,collider_bias,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,correlation,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,det-counterfactual,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,ett,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,exp_away,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,marginal,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nde,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nie,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,ate,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,backadj,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,collider_bias,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,correlation,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,det-counterfactual,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
