model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,n_stories,mean_items_per_story,story_all_correct_rate
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,34,2.9411764705882355,0.29411764705882354
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,34,2.9411764705882355,0.29411764705882354
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl,34,2.9411764705882355,0.23529411764705882
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nl_formal,34,2.9411764705882355,0.23529411764705882
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl,29,3.4482758620689653,0.20689655172413793
qwen3_0_6b,Qwen3-0.6B,stress,easy,nl_formal,29,3.4482758620689653,0.20689655172413793
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl,27,3.7037037037037037,0.18518518518518517
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,27,3.7037037037037037,0.18518518518518517
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,10,10.0,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,10,10.0,0.0
