model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,query_type,n,accuracy,parse_rate
qwen3_4b,Qwen3-4B,main,main,nl_var_graph,ate,100,0.75,1.0
qwen3_4b,Qwen3-4B,main,main,nl_var_graph,backadj,100,0.54,1.0
qwen3_4b,Qwen3-4B,main,main,nl_var_graph,correlation,100,0.66,1.0
qwen3_4b,Qwen3-4B,main,main,nl_var_graph,det-counterfactual,60,0.5333333333333333,1.0
qwen3_4b,Qwen3-4B,main,main,nl_var_graph,ett,60,0.43333333333333335,1.0
qwen3_4b,Qwen3-4B,main,main,nl_var_graph,marginal,100,0.57,1.0
qwen3_4b,Qwen3-4B,main,main,nl_var_graph,nde,60,0.6333333333333333,1.0
qwen3_4b,Qwen3-4B,main,main,nl_var_graph,nie,60,0.55,1.0
qwen3_4b,Qwen3-4B,main,main,nl_var_query,ate,100,0.7,1.0
qwen3_4b,Qwen3-4B,main,main,nl_var_query,backadj,100,0.52,1.0
qwen3_4b,Qwen3-4B,main,main,nl_var_query,correlation,100,0.58,1.0
qwen3_4b,Qwen3-4B,main,main,nl_var_query,det-counterfactual,60,0.5666666666666667,1.0
qwen3_4b,Qwen3-4B,main,main,nl_var_query,ett,60,0.4166666666666667,1.0
qwen3_4b,Qwen3-4B,main,main,nl_var_query,marginal,100,0.52,1.0
qwen3_4b,Qwen3-4B,main,main,nl_var_query,nde,60,0.6666666666666666,1.0
qwen3_4b,Qwen3-4B,main,main,nl_var_query,nie,60,0.55,1.0
