model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,query_type,n,accuracy,parse_rate
qwen3_4b,Qwen3-4B,main,main,nl_binary_score,ate,100,0.75,1.0
qwen3_4b,Qwen3-4B,main,main,nl_binary_score,backadj,100,0.52,1.0
qwen3_4b,Qwen3-4B,main,main,nl_binary_score,correlation,100,0.65,1.0
qwen3_4b,Qwen3-4B,main,main,nl_binary_score,det-counterfactual,60,0.5833333333333334,1.0
qwen3_4b,Qwen3-4B,main,main,nl_binary_score,ett,60,0.48333333333333334,1.0
qwen3_4b,Qwen3-4B,main,main,nl_binary_score,marginal,100,0.54,1.0
qwen3_4b,Qwen3-4B,main,main,nl_binary_score,nde,60,0.6333333333333333,1.0
qwen3_4b,Qwen3-4B,main,main,nl_binary_score,nie,60,0.6,1.0
qwen3_4b,Qwen3-4B,main,main,nl_formal_binary_score,ate,100,0.71,1.0
qwen3_4b,Qwen3-4B,main,main,nl_formal_binary_score,backadj,100,0.52,1.0
qwen3_4b,Qwen3-4B,main,main,nl_formal_binary_score,correlation,100,0.56,1.0
qwen3_4b,Qwen3-4B,main,main,nl_formal_binary_score,det-counterfactual,60,0.5833333333333334,1.0
qwen3_4b,Qwen3-4B,main,main,nl_formal_binary_score,ett,60,0.4,1.0
qwen3_4b,Qwen3-4B,main,main,nl_formal_binary_score,marginal,100,0.56,1.0
qwen3_4b,Qwen3-4B,main,main,nl_formal_binary_score,nde,60,0.6166666666666667,1.0
qwen3_4b,Qwen3-4B,main,main,nl_formal_binary_score,nie,60,0.55,1.0
qwen3_4b,Qwen3-4B,main,main,symbolic_solver_concise_binary_score,ate,100,0.78,1.0
qwen3_4b,Qwen3-4B,main,main,symbolic_solver_concise_binary_score,backadj,100,0.54,1.0
qwen3_4b,Qwen3-4B,main,main,symbolic_solver_concise_binary_score,correlation,100,0.62,1.0
qwen3_4b,Qwen3-4B,main,main,symbolic_solver_concise_binary_score,det-counterfactual,60,0.5333333333333333,1.0
qwen3_4b,Qwen3-4B,main,main,symbolic_solver_concise_binary_score,ett,60,0.45,1.0
qwen3_4b,Qwen3-4B,main,main,symbolic_solver_concise_binary_score,marginal,100,0.53,1.0
qwen3_4b,Qwen3-4B,main,main,symbolic_solver_concise_binary_score,nde,60,0.48333333333333334,1.0
qwen3_4b,Qwen3-4B,main,main,symbolic_solver_concise_binary_score,nie,60,0.65,1.0
