model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,query_type,n,accuracy,parse_rate
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,nl_binary_score,ate,256,0.7578125,1.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,nl_binary_score,backadj,256,0.55859375,1.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,nl_binary_score,correlation,256,0.55078125,1.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,nl_binary_score,det-counterfactual,256,0.6015625,1.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,nl_binary_score,ett,256,0.45703125,1.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,nl_binary_score,marginal,256,0.51953125,1.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,nl_binary_score,nde,256,0.6171875,1.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,nl_binary_score,nie,256,0.6015625,1.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_matched_binary_score,ate,256,0.8203125,1.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_matched_binary_score,backadj,256,0.6015625,1.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_matched_binary_score,correlation,256,0.54296875,1.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_matched_binary_score,det-counterfactual,256,0.59765625,1.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_matched_binary_score,ett,256,0.453125,1.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_matched_binary_score,marginal,256,0.50390625,1.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_matched_binary_score,nde,256,0.546875,1.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_matched_binary_score,nie,256,0.6171875,1.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_shuffled_binary_score,ate,256,0.69921875,1.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_shuffled_binary_score,backadj,256,0.57421875,1.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_shuffled_binary_score,correlation,256,0.5234375,1.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_shuffled_binary_score,det-counterfactual,256,0.56640625,1.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_shuffled_binary_score,ett,256,0.40234375,1.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_shuffled_binary_score,marginal,256,0.5,1.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_shuffled_binary_score,nde,256,0.546875,1.0
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,symbolic_shuffled_binary_score,nie,256,0.53125,1.0
