model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,query_type,n_pairs,n_valid_pairs,strict_ccc,correct_flip_rate,wrong_flip_rate,invariant_yes_rate,invariant_no_rate,scca,signed_ccc,invalid_pair_rate
qwen3_8b,Qwen3-8B,main,main,nl_var_graph,ate,53,53,0.6415094339622641,0.5283018867924528,0.11320754716981132,0.20754716981132076,0.1509433962264151,0.5283018867924528,0.41509433962264153,0.0
qwen3_8b,Qwen3-8B,main,main,nl_var_graph,backadj,50,50,0.68,0.36,0.32,0.04,0.28,0.36,0.03999999999999998,0.0
qwen3_8b,Qwen3-8B,main,main,nl_var_graph,correlation,98,98,0.5612244897959183,0.3877551020408163,0.17346938775510204,0.37755102040816324,0.061224489795918366,0.3877551020408163,0.21428571428571427,0.0
qwen3_8b,Qwen3-8B,main,main,nl_var_graph,det-counterfactual,1,1,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0
qwen3_8b,Qwen3-8B,main,main,nl_var_graph,ett,19,19,0.2631578947368421,0.05263157894736842,0.21052631578947367,0.10526315789473684,0.631578947368421,0.05263157894736842,-0.15789473684210525,0.0
qwen3_8b,Qwen3-8B,main,main,nl_var_graph,marginal,63,63,0.38095238095238093,0.2698412698412698,0.1111111111111111,0.3968253968253968,0.2222222222222222,0.2698412698412698,0.15873015873015872,0.0
qwen3_8b,Qwen3-8B,main,main,nl_var_graph,nde,45,45,0.1111111111111111,0.08888888888888889,0.022222222222222223,0.0,0.8888888888888888,0.08888888888888889,0.06666666666666667,0.0
qwen3_8b,Qwen3-8B,main,main,nl_var_graph,nie,29,29,0.2413793103448276,0.13793103448275862,0.10344827586206896,0.6551724137931034,0.10344827586206896,0.13793103448275862,0.034482758620689655,0.0
qwen3_8b,Qwen3-8B,main,main,nl_var_query,ate,53,53,0.5849056603773585,0.4528301886792453,0.1320754716981132,0.18867924528301888,0.22641509433962265,0.4528301886792453,0.3207547169811321,0.0
qwen3_8b,Qwen3-8B,main,main,nl_var_query,backadj,50,50,0.38,0.2,0.18,0.02,0.6,0.2,0.020000000000000018,0.0
qwen3_8b,Qwen3-8B,main,main,nl_var_query,correlation,98,98,0.5102040816326531,0.3163265306122449,0.19387755102040816,0.41836734693877553,0.07142857142857142,0.3163265306122449,0.12244897959183676,0.0
qwen3_8b,Qwen3-8B,main,main,nl_var_query,det-counterfactual,1,1,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0
qwen3_8b,Qwen3-8B,main,main,nl_var_query,ett,19,19,0.3157894736842105,0.15789473684210525,0.15789473684210525,0.10526315789473684,0.5789473684210527,0.15789473684210525,0.0,0.0
qwen3_8b,Qwen3-8B,main,main,nl_var_query,marginal,63,63,0.30158730158730157,0.15873015873015872,0.14285714285714285,0.31746031746031744,0.38095238095238093,0.15873015873015872,0.015873015873015872,0.0
qwen3_8b,Qwen3-8B,main,main,nl_var_query,nde,45,45,0.2222222222222222,0.2222222222222222,0.0,0.022222222222222223,0.7555555555555555,0.2222222222222222,0.2222222222222222,0.0
qwen3_8b,Qwen3-8B,main,main,nl_var_query,nie,29,29,0.4482758620689655,0.20689655172413793,0.2413793103448276,0.41379310344827586,0.13793103448275862,0.20689655172413793,-0.03448275862068967,0.0
