model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,query_type,n_pairs,n_valid_pairs,strict_ccc,correct_flip_rate,wrong_flip_rate,invariant_yes_rate,invariant_no_rate,scca,signed_ccc,invalid_pair_rate
qwen3_8b,Qwen3-8B,main,main,nl_binary_score,ate,53,53,0.6226415094339622,0.5094339622641509,0.11320754716981132,0.2830188679245283,0.09433962264150944,0.5094339622641509,0.39622641509433965,0.0
qwen3_8b,Qwen3-8B,main,main,nl_binary_score,backadj,50,50,0.72,0.4,0.32,0.04,0.24,0.4,0.08000000000000002,0.0
qwen3_8b,Qwen3-8B,main,main,nl_binary_score,correlation,98,98,0.4897959183673469,0.32653061224489793,0.16326530612244897,0.47959183673469385,0.030612244897959183,0.32653061224489793,0.16326530612244897,0.0
qwen3_8b,Qwen3-8B,main,main,nl_binary_score,det-counterfactual,1,1,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0
qwen3_8b,Qwen3-8B,main,main,nl_binary_score,ett,19,19,0.3157894736842105,0.05263157894736842,0.2631578947368421,0.05263157894736842,0.631578947368421,0.05263157894736842,-0.21052631578947367,0.0
qwen3_8b,Qwen3-8B,main,main,nl_binary_score,marginal,63,63,0.3492063492063492,0.25396825396825395,0.09523809523809523,0.4444444444444444,0.20634920634920634,0.25396825396825395,0.15873015873015872,0.0
qwen3_8b,Qwen3-8B,main,main,nl_binary_score,nde,45,45,0.28888888888888886,0.28888888888888886,0.0,0.08888888888888889,0.6222222222222222,0.28888888888888886,0.28888888888888886,0.0
qwen3_8b,Qwen3-8B,main,main,nl_binary_score,nie,29,29,0.0,0.0,0.0,0.896551724137931,0.10344827586206896,0.0,0.0,0.0
qwen3_8b,Qwen3-8B,main,main,nl_formal_binary_score,ate,53,53,0.6415094339622641,0.49056603773584906,0.1509433962264151,0.16981132075471697,0.18867924528301888,0.49056603773584906,0.339622641509434,0.0
qwen3_8b,Qwen3-8B,main,main,nl_formal_binary_score,backadj,50,50,0.68,0.36,0.32,0.04,0.28,0.36,0.03999999999999998,0.0
qwen3_8b,Qwen3-8B,main,main,nl_formal_binary_score,correlation,98,98,0.46938775510204084,0.30612244897959184,0.16326530612244897,0.5,0.030612244897959183,0.30612244897959184,0.14285714285714288,0.0
qwen3_8b,Qwen3-8B,main,main,nl_formal_binary_score,det-counterfactual,1,1,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0
qwen3_8b,Qwen3-8B,main,main,nl_formal_binary_score,ett,19,19,0.5263157894736842,0.2631578947368421,0.2631578947368421,0.10526315789473684,0.3684210526315789,0.2631578947368421,0.0,0.0
qwen3_8b,Qwen3-8B,main,main,nl_formal_binary_score,marginal,63,63,0.36507936507936506,0.25396825396825395,0.1111111111111111,0.5079365079365079,0.12698412698412698,0.25396825396825395,0.14285714285714285,0.0
qwen3_8b,Qwen3-8B,main,main,nl_formal_binary_score,nde,45,45,0.2222222222222222,0.2,0.022222222222222223,0.0,0.7777777777777778,0.2,0.17777777777777778,0.0
qwen3_8b,Qwen3-8B,main,main,nl_formal_binary_score,nie,29,29,0.2413793103448276,0.10344827586206896,0.13793103448275862,0.6896551724137931,0.06896551724137931,0.10344827586206896,-0.034482758620689655,0.0
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise_binary_score,ate,53,53,0.6226415094339622,0.5849056603773585,0.03773584905660377,0.18867924528301888,0.18867924528301888,0.5849056603773585,0.5471698113207547,0.0
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise_binary_score,backadj,50,50,0.74,0.4,0.34,0.04,0.22,0.4,0.06,0.0
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise_binary_score,correlation,98,98,0.24489795918367346,0.12244897959183673,0.12244897959183673,0.7448979591836735,0.01020408163265306,0.12244897959183673,0.0,0.0
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise_binary_score,det-counterfactual,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise_binary_score,ett,19,19,0.42105263157894735,0.05263157894736842,0.3684210526315789,0.05263157894736842,0.5263157894736842,0.05263157894736842,-0.3157894736842105,0.0
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise_binary_score,marginal,63,63,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.6349206349206349,0.07936507936507936,0.14285714285714285,0.0,0.0
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise_binary_score,nde,45,45,0.5111111111111111,0.5111111111111111,0.0,0.28888888888888886,0.2,0.5111111111111111,0.5111111111111111,0.0
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise_binary_score,nie,29,29,0.27586206896551724,0.20689655172413793,0.06896551724137931,0.6551724137931034,0.06896551724137931,0.20689655172413793,0.13793103448275862,0.0
