model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,query_type,n_pairs,n_valid_pairs,strict_ccc,correct_flip_rate,wrong_flip_rate,invariant_yes_rate,invariant_no_rate,scca,signed_ccc,invalid_pair_rate
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,ate,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,collider_bias,5,5,0.6,0.0,0.6,0.0,0.4,0.0,-0.6,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,correlation,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,exp_away,11,11,0.5454545454545454,0.5454545454545454,0.0,0.45454545454545453,0.0,0.5454545454545454,0.5454545454545454,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,marginal,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,nde,1,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,nie,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,ate,1,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,collider_bias,5,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,correlation,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,exp_away,11,11,0.36363636363636365,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.2727272727272727,0.09090909090909091,-0.1818181818181818,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,marginal,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,nde,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,nie,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,ate,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,backadj,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,collider_bias,5,5,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,correlation,3,3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,ett,2,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,exp_away,7,7,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.14285714285714285,-0.14285714285714285,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,nde,5,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,nie,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,ate,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,backadj,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,collider_bias,5,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,correlation,3,3,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,ett,2,2,0.5,0.0,0.5,0.5,0.0,0.0,-0.5,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,exp_away,7,7,0.8571428571428571,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.0,0.2857142857142857,-0.2857142857142857,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,nde,5,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,nie,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_8b,Qwen3-8B,stress,easy,nl,ate,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qwen3_8b,Qwen3-8B,stress,easy,nl,backadj,1,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
qwen3_8b,Qwen3-8B,stress,easy,nl,collider_bias,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
qwen3_8b,Qwen3-8B,stress,easy,nl,correlation,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
