model,dataset_variant,prompt_mode,parsed_label,n
qwen3_8b,anticommonsense,nl,no,51
qwen3_8b,anticommonsense,nl,yes,49
qwen3_8b,anticommonsense,nl_formal,no,65
qwen3_8b,anticommonsense,nl_formal,yes,35
qwen3_8b,commonsense,nl,no,48
qwen3_8b,commonsense,nl,yes,52
qwen3_8b,commonsense,nl_formal,no,57
qwen3_8b,commonsense,nl_formal,yes,43
qwen3_8b,easy,nl,no,59
qwen3_8b,easy,nl,yes,41
qwen3_8b,easy,nl_formal,no,63
qwen3_8b,easy,nl_formal,yes,37
qwen3_8b,hard,nl,no,62
qwen3_8b,hard,nl,yes,38
qwen3_8b,hard,nl_formal,no,64
qwen3_8b,hard,nl_formal,yes,36
qwen3_8b,noncommonsense,nl,no,69
qwen3_8b,noncommonsense,nl,yes,31
qwen3_8b,noncommonsense,nl_formal,no,71
qwen3_8b,noncommonsense,nl_formal,yes,29
