model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,n_pairs,n_valid_pairs,strict_ccc,correct_flip_rate,wrong_flip_rate,invariant_yes_rate,invariant_no_rate,scca,signed_ccc,invalid_pair_rate
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,22,22,0.45454545454545453,0.3181818181818182,0.13636363636363635,0.3181818181818182,0.22727272727272727,0.3181818181818182,0.18181818181818182,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,22,22,0.22727272727272727,0.09090909090909091,0.13636363636363635,0.2727272727272727,0.5,0.09090909090909091,-0.04545454545454544,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,25,25,0.16,0.08,0.08,0.48,0.36,0.08,0.0,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,25,25,0.32,0.12,0.2,0.4,0.28,0.12,-0.08000000000000002,0.0
qwen3_8b,Qwen3-8B,stress,easy,nl,12,12,0.3333333333333333,0.08333333333333333,0.25,0.25,0.4166666666666667,0.08333333333333333,-0.16666666666666669,0.0
qwen3_8b,Qwen3-8B,stress,easy,nl_formal,12,12,0.08333333333333333,0.0,0.08333333333333333,0.4166666666666667,0.5,0.0,-0.08333333333333333,0.0
qwen3_8b,Qwen3-8B,stress,hard,nl,17,17,0.47058823529411764,0.11764705882352941,0.35294117647058826,0.29411764705882354,0.23529411764705882,0.11764705882352941,-0.23529411764705885,0.0
qwen3_8b,Qwen3-8B,stress,hard,nl_formal,17,17,0.23529411764705882,0.0,0.23529411764705882,0.29411764705882354,0.47058823529411764,0.0,-0.23529411764705882,0.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl,29,29,0.3793103448275862,0.20689655172413793,0.1724137931034483,0.10344827586206896,0.5172413793103449,0.20689655172413793,0.03448275862068964,0.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl_formal,29,29,0.3448275862068966,0.13793103448275862,0.20689655172413793,0.034482758620689655,0.6206896551724138,0.13793103448275862,-0.06896551724137931,0.0
