model,model_display_name,diagnostic_source,dataset_variant,query_type,scaffold_mode,scaffold_condition,nl_accuracy,scaffold_accuracy,scaffold_gain
qwen3_8b,Qwen3-8B,stress,anticommonsense,ate,nl_formal,NL + Formal Scaffold,0.4,0.3,-0.10000000000000003
qwen3_8b,Qwen3-8B,stress,anticommonsense,backadj,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,collider_bias,nl_formal,NL + Formal Scaffold,0.3,0.5,0.2
qwen3_8b,Qwen3-8B,stress,anticommonsense,correlation,nl_formal,NL + Formal Scaffold,0.3,0.5,0.2
qwen3_8b,Qwen3-8B,stress,anticommonsense,det-counterfactual,nl_formal,NL + Formal Scaffold,0.5,0.8,0.30000000000000004
qwen3_8b,Qwen3-8B,stress,anticommonsense,ett,nl_formal,NL + Formal Scaffold,0.5,0.3,-0.2
qwen3_8b,Qwen3-8B,stress,anticommonsense,exp_away,nl_formal,NL + Formal Scaffold,0.8,0.3,-0.5
qwen3_8b,Qwen3-8B,stress,anticommonsense,marginal,nl_formal,NL + Formal Scaffold,0.6,0.5,-0.09999999999999998
qwen3_8b,Qwen3-8B,stress,anticommonsense,nde,nl_formal,NL + Formal Scaffold,0.5,0.4,-0.09999999999999998
qwen3_8b,Qwen3-8B,stress,anticommonsense,nie,nl_formal,NL + Formal Scaffold,0.5,0.4,-0.09999999999999998
qwen3_8b,Qwen3-8B,stress,commonsense,ate,nl_formal,NL + Formal Scaffold,0.4,0.7,0.29999999999999993
qwen3_8b,Qwen3-8B,stress,commonsense,backadj,nl_formal,NL + Formal Scaffold,0.6,0.5,-0.09999999999999998
qwen3_8b,Qwen3-8B,stress,commonsense,collider_bias,nl_formal,NL + Formal Scaffold,0.4,0.5,0.09999999999999998
qwen3_8b,Qwen3-8B,stress,commonsense,correlation,nl_formal,NL + Formal Scaffold,0.6,0.6,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,det-counterfactual,nl_formal,NL + Formal Scaffold,0.3,0.8,0.5
qwen3_8b,Qwen3-8B,stress,commonsense,ett,nl_formal,NL + Formal Scaffold,0.6,0.6,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,exp_away,nl_formal,NL + Formal Scaffold,0.6,0.5,-0.09999999999999998
qwen3_8b,Qwen3-8B,stress,commonsense,marginal,nl_formal,NL + Formal Scaffold,0.7,0.4,-0.29999999999999993
qwen3_8b,Qwen3-8B,stress,commonsense,nde,nl_formal,NL + Formal Scaffold,0.4,0.5,0.09999999999999998
qwen3_8b,Qwen3-8B,stress,commonsense,nie,nl_formal,NL + Formal Scaffold,0.6,0.6,0.0
qwen3_8b,Qwen3-8B,stress,easy,ate,nl_formal,NL + Formal Scaffold,0.4,0.4,0.0
qwen3_8b,Qwen3-8B,stress,easy,backadj,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_8b,Qwen3-8B,stress,easy,collider_bias,nl_formal,NL + Formal Scaffold,0.4,0.5,0.09999999999999998
qwen3_8b,Qwen3-8B,stress,easy,correlation,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_8b,Qwen3-8B,stress,easy,det-counterfactual,nl_formal,NL + Formal Scaffold,0.7,0.6,-0.09999999999999998
qwen3_8b,Qwen3-8B,stress,easy,ett,nl_formal,NL + Formal Scaffold,0.4,0.7,0.29999999999999993
qwen3_8b,Qwen3-8B,stress,easy,exp_away,nl_formal,NL + Formal Scaffold,0.6,0.6,0.0
qwen3_8b,Qwen3-8B,stress,easy,marginal,nl_formal,NL + Formal Scaffold,0.4,0.5,0.09999999999999998
qwen3_8b,Qwen3-8B,stress,easy,nde,nl_formal,NL + Formal Scaffold,0.6,0.5,-0.09999999999999998
qwen3_8b,Qwen3-8B,stress,easy,nie,nl_formal,NL + Formal Scaffold,0.6,0.5,-0.09999999999999998
qwen3_8b,Qwen3-8B,stress,hard,ate,nl_formal,NL + Formal Scaffold,0.3,0.4,0.10000000000000003
qwen3_8b,Qwen3-8B,stress,hard,backadj,nl_formal,NL + Formal Scaffold,0.6,0.5,-0.09999999999999998
qwen3_8b,Qwen3-8B,stress,hard,collider_bias,nl_formal,NL + Formal Scaffold,0.4,0.5,0.09999999999999998
qwen3_8b,Qwen3-8B,stress,hard,correlation,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_8b,Qwen3-8B,stress,hard,det-counterfactual,nl_formal,NL + Formal Scaffold,0.4,0.5,0.09999999999999998
