model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,prompt_condition,n,accuracy,parse_rate,invalid_rate,latency_sec
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,Natural Language,100,0.49,1.0,0.0,0.05665962834842503
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,NL + Formal Scaffold,100,0.45,1.0,0.0,0.061072266201954335
qwen3_8b,Qwen3-8B,stress,commonsense,nl,Natural Language,100,0.52,1.0,0.0,0.05191938143689186
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,NL + Formal Scaffold,100,0.57,1.0,0.0,0.060701779511291534
qwen3_8b,Qwen3-8B,stress,easy,nl,Natural Language,100,0.51,1.0,0.0,0.05260622399160639
qwen3_8b,Qwen3-8B,stress,easy,nl_formal,NL + Formal Scaffold,100,0.53,1.0,0.0,0.06243136507808231
qwen3_8b,Qwen3-8B,stress,hard,nl,Natural Language,100,0.46,1.0,0.0,0.052884806310757995
qwen3_8b,Qwen3-8B,stress,hard,nl_formal,NL + Formal Scaffold,100,0.46,1.0,0.0,0.06214776069973595
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl,Natural Language,100,0.49,1.0,0.0,0.05287354066153057
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl_formal,NL + Formal Scaffold,100,0.47,1.0,0.0,0.0623070222674869
