model,model_display_name,sample_mode,prompt_mode,story_id,left_sample_id,right_sample_id,transition,gold_same,pred_same,has_invalid,is_consistent
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,133,15284,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,133,10457,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,133,15293,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,133,119,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,133,15258,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,133,88,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,133,4835,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,133,129,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,133,10414,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,15321,15284,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,15321,10457,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,15321,15293,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,15321,119,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,15321,15258,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,15321,88,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,15321,4835,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,15321,129,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,15321,10414,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,30,15284,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,30,10457,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,30,15293,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,30,119,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,30,15258,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,30,88,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,30,4835,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,30,129,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,30,10414,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,15284,119,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,15284,15258,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,15284,88,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,15284,4835,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,15284,129,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,15284,10414,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,10457,119,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,10457,15258,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,10457,88,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,10457,4835,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,10457,129,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,10457,10414,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,15293,119,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,15293,15258,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,15293,88,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,15293,4835,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,15293,129,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,alarm,15293,10414,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6175,11860,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6175,6121,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6175,6206,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6175,20098,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6175,16597,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6175,1340,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6175,6192,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6175,1386,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6175,6148,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6175,6172,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6175,16534,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6175,11745,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11730,11860,1→2,False,True,False,0
