model,model_display_name,sample_mode,prompt_mode,query_type,n,accuracy,parse_rate
qwen3_4b,Qwen3-4B,formal,direct,ate,100,0.67,1.0
qwen3_4b,Qwen3-4B,formal,direct,backadj,100,0.53,1.0
qwen3_4b,Qwen3-4B,formal,direct,correlation,100,0.66,1.0
qwen3_4b,Qwen3-4B,formal,direct,det-counterfactual,60,0.5166666666666667,1.0
qwen3_4b,Qwen3-4B,formal,direct,ett,60,0.43333333333333335,1.0
qwen3_4b,Qwen3-4B,formal,direct,marginal,100,0.53,1.0
qwen3_4b,Qwen3-4B,formal,direct,nde,60,0.6666666666666666,1.0
qwen3_4b,Qwen3-4B,formal,direct,nie,60,0.5666666666666667,1.0
qwen3_4b,Qwen3-4B,formal,structured,ate,100,0.66,1.0
qwen3_4b,Qwen3-4B,formal,structured,backadj,100,0.52,1.0
qwen3_4b,Qwen3-4B,formal,structured,correlation,100,0.61,1.0
qwen3_4b,Qwen3-4B,formal,structured,det-counterfactual,60,0.48333333333333334,1.0
qwen3_4b,Qwen3-4B,formal,structured,ett,60,0.55,1.0
qwen3_4b,Qwen3-4B,formal,structured,marginal,100,0.5,1.0
qwen3_4b,Qwen3-4B,formal,structured,nde,60,0.6,1.0
qwen3_4b,Qwen3-4B,formal,structured,nie,60,0.5333333333333333,1.0
