dataset_variant,prompt_mode,query_type,n,accuracy,parse_rate
original_main,cot,ate,80,0.5,1.0
original_main,cot,backadj,80,0.5,1.0
original_main,cot,correlation,80,0.4875,1.0
original_main,cot,det-counterfactual,40,0.5,1.0
original_main,cot,ett,40,0.475,1.0
original_main,cot,marginal,80,0.4875,1.0
original_main,cot,nde,40,0.5,1.0
original_main,cot,nie,40,0.475,1.0
original_main,direct,ate,80,0.5,1.0
original_main,direct,backadj,80,0.5,1.0
original_main,direct,correlation,80,0.5,1.0
original_main,direct,det-counterfactual,40,0.5,1.0
original_main,direct,ett,40,0.5,1.0
original_main,direct,marginal,80,0.5,1.0
original_main,direct,nde,40,0.5,1.0
original_main,direct,nie,40,0.5,1.0
original_main,structured,ate,80,0.5,1.0
original_main,structured,backadj,80,0.5,1.0
original_main,structured,correlation,80,0.5,1.0
original_main,structured,det-counterfactual,40,0.5,1.0
original_main,structured,ett,40,0.5,1.0
original_main,structured,marginal,80,0.5,1.0
original_main,structured,nde,40,0.5,1.0
original_main,structured,nie,40,0.5,1.0
original_smoke,cot,ate,6,0.5,1.0
original_smoke,cot,backadj,6,0.5,1.0
original_smoke,cot,correlation,6,0.5,1.0
original_smoke,cot,det-counterfactual,6,0.5,1.0
original_smoke,cot,ett,6,0.5,1.0
original_smoke,cot,marginal,6,0.5,1.0
original_smoke,cot,nde,6,0.5,1.0
original_smoke,cot,nie,6,0.5,1.0
original_smoke,direct,ate,6,0.5,1.0
original_smoke,direct,backadj,6,0.5,1.0
original_smoke,direct,correlation,6,0.5,1.0
original_smoke,direct,det-counterfactual,6,0.5,1.0
original_smoke,direct,ett,6,0.5,1.0
original_smoke,direct,marginal,6,0.5,1.0
original_smoke,direct,nde,6,0.5,1.0
original_smoke,direct,nie,6,0.5,1.0
original_smoke,structured,ate,6,0.5,1.0
original_smoke,structured,backadj,6,0.5,1.0
original_smoke,structured,correlation,6,0.5,1.0
original_smoke,structured,det-counterfactual,6,0.5,1.0
original_smoke,structured,ett,6,0.5,1.0
original_smoke,structured,marginal,6,0.5,1.0
original_smoke,structured,nde,6,0.5,1.0
original_smoke,structured,nie,6,0.5,1.0
scenario_rewrite,cot,ate,12,0.5,1.0
scenario_rewrite,cot,correlation,6,0.3333333333333333,1.0
scenario_rewrite,cot,det-counterfactual,3,0.0,1.0
scenario_rewrite,cot,marginal,6,0.5,1.0
scenario_rewrite,cot,nde,3,0.0,1.0
scenario_rewrite,cot,nie,6,1.0,1.0
scenario_rewrite,direct,ate,12,0.5,1.0
scenario_rewrite,direct,correlation,6,0.5,1.0
scenario_rewrite,direct,det-counterfactual,3,0.0,1.0
scenario_rewrite,direct,marginal,6,0.5,1.0
scenario_rewrite,direct,nde,3,0.0,1.0
scenario_rewrite,direct,nie,6,1.0,1.0
scenario_rewrite,structured,ate,12,0.5,1.0
scenario_rewrite,structured,correlation,6,0.5,1.0
scenario_rewrite,structured,det-counterfactual,3,0.0,1.0
scenario_rewrite,structured,marginal,6,0.5,1.0
scenario_rewrite,structured,nde,3,0.0,1.0
scenario_rewrite,structured,nie,6,1.0,1.0
scenario_source_original,cot,ate,4,0.5,1.0
scenario_source_original,cot,correlation,2,0.5,1.0
scenario_source_original,cot,det-counterfactual,1,0.0,1.0
scenario_source_original,cot,marginal,2,0.5,1.0
scenario_source_original,cot,nde,1,0.0,1.0
scenario_source_original,cot,nie,2,1.0,1.0
scenario_source_original,direct,ate,4,0.5,1.0
scenario_source_original,direct,correlation,2,0.5,1.0
scenario_source_original,direct,det-counterfactual,1,0.0,1.0
scenario_source_original,direct,marginal,2,0.5,1.0
scenario_source_original,direct,nde,1,0.0,1.0
scenario_source_original,direct,nie,2,1.0,1.0
scenario_source_original,structured,ate,4,0.5,1.0
scenario_source_original,structured,correlation,2,0.5,1.0
scenario_source_original,structured,det-counterfactual,1,0.0,1.0
scenario_source_original,structured,marginal,2,0.5,1.0
scenario_source_original,structured,nde,1,0.0,1.0
scenario_source_original,structured,nie,2,1.0,1.0
