dataset_variant,prompt_mode,rung,n,accuracy,parse_rate
original_main,cot,1,160,0.4875,1.0
original_main,cot,2,160,0.5,1.0
original_main,cot,3,160,0.4875,1.0
original_main,direct,1,160,0.5,1.0
original_main,direct,2,160,0.5,1.0
original_main,direct,3,160,0.5,1.0
original_main,structured,1,160,0.5,1.0
original_main,structured,2,160,0.5,1.0
original_main,structured,3,160,0.5,1.0
original_smoke,cot,1,12,0.5,1.0
original_smoke,cot,2,12,0.5,1.0
original_smoke,cot,3,24,0.5,1.0
original_smoke,direct,1,12,0.5,1.0
original_smoke,direct,2,12,0.5,1.0
original_smoke,direct,3,24,0.5,1.0
original_smoke,structured,1,12,0.5,1.0
original_smoke,structured,2,12,0.5,1.0
original_smoke,structured,3,24,0.5,1.0
scenario_rewrite,cot,1,12,0.4166666666666667,1.0
scenario_rewrite,cot,2,12,0.5,1.0
scenario_rewrite,cot,3,12,0.5,1.0
scenario_rewrite,direct,1,12,0.5,1.0
scenario_rewrite,direct,2,12,0.5,1.0
scenario_rewrite,direct,3,12,0.5,1.0
scenario_rewrite,structured,1,12,0.5,1.0
scenario_rewrite,structured,2,12,0.5,1.0
scenario_rewrite,structured,3,12,0.5,1.0
scenario_source_original,cot,1,4,0.5,1.0
scenario_source_original,cot,2,4,0.5,1.0
scenario_source_original,cot,3,4,0.5,1.0
scenario_source_original,direct,1,4,0.5,1.0
scenario_source_original,direct,2,4,0.5,1.0
scenario_source_original,direct,3,4,0.5,1.0
scenario_source_original,structured,1,4,0.5,1.0
scenario_source_original,structured,2,4,0.5,1.0
scenario_source_original,structured,3,4,0.5,1.0
