pair_id,story_id,query_type,rung,component,layer,clean_logit_diff,corrupted_logit_diff,patched_logit_diff,recovery,method
29958->29953,nonsense2,det-counterfactual,3,residual,0,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,1,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,2,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,3,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,4,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,5,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,6,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,7,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,8,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,9,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,10,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,11,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,12,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,13,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,14,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,15,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,16,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,17,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,18,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,19,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,20,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,21,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,22,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,23,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,24,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,25,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,26,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,residual,27,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,0,6.875,7.1875,7.03125,-0.15625,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,1,6.875,7.1875,7.0,-0.1875,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,2,6.875,7.1875,7.3125,0.125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,3,6.875,7.1875,7.34375,0.15625,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,4,6.875,7.1875,7.125,-0.0625,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,5,6.875,7.1875,7.125,-0.0625,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,6,6.875,7.1875,7.0625,-0.125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,7,6.875,7.1875,7.125,-0.0625,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,8,6.875,7.1875,7.125,-0.0625,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,9,6.875,7.1875,7.0,-0.1875,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,10,6.875,7.1875,7.15625,-0.03125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,11,6.875,7.1875,7.125,-0.0625,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,12,6.875,7.1875,7.3125,0.125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,13,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,14,6.875,7.1875,7.1875,0.0,transformer_lens
